GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Type,Value
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Expenses,102000
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Gross Earnings,183800
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Income Before Tax,81900
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Estimated Population,6150
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Income Before Tax Standard Error,463
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Median Income Before Tax,73500
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Sample Count,3200
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Average Tot Expenses,202400
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Average Tot Gross Earnings,308000
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Average Tot Income Before Tax,105600
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Estimated Population,7350
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Income Before Tax Standard Error,482
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Median Income Before Tax,101100
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Sample Count,4250
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Average Tot Expenses,237500
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Average Tot Gross Earnings,352500
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Average Tot Income Before Tax,115000
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Estimated Population,6050
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Income Before Tax Standard Error,591
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Median Income Before Tax,108000
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Sample Count,3500
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Average Tot Expenses,208700
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Average Tot Gross Earnings,318900
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Average Tot Income Before Tax,110300
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Estimated Population,1800
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Income Before Tax Standard Error,1308
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Median Income Before Tax,99300
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Sample Count,1050
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Expenses,176400
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Gross Earnings,278700
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Income Before Tax,102300
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Estimated Population,6900
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Income Before Tax Standard Error,541
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Median Income Before Tax,96700
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Sample Count,3850
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Expenses,193700
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Gross Earnings,301000
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Income Before Tax,107300
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Estimated Population,2550
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Income Before Tax Standard Error,983
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Median Income Before Tax,99800
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Sample Count,1400
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Expenses,202700
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Gross Earnings,296700
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Income Before Tax,94000
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Estimated Population,1950
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Income Before Tax Standard Error,1066
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Median Income Before Tax,84200
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Sample Count,1100
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Expenses,181500
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Gross Earnings,284000
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Income Before Tax,102500
