GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Measure,Value
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Sample Count,6000
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Estimated Population,11950
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average SE Gross Earnings,15300
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average SE Expenses,6300
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average SE Income Before Tax,8800
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Emp Gross Earnings,57200
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Emp Income Before Tax,56100
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,72200
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Tot Expenses,7400
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,64900
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,270
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Median Income Before Tax,59700
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE Median,61700
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE Q1,46400
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE Q3,82500
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE D1,33500
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE D9,110100
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,TE Median,1600
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT Q1,44600
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT Q3,79000
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT D1,32000
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT D9,101600
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",Count_of_GPs,580
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",Percentage_of_GPs_%,4.9
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",Cumulative_Percentage_of_GPs_%,4.9
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"100,000+",Count_of_GPs,1250
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"100,000+",Percentage_of_GPs_%,10.5
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"100,000+",Cumulative_Percentage_of_GPs_%,100
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",Count_of_GPs,3390
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",Percentage_of_GPs_%,28.4
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",Cumulative_Percentage_of_GPs_%,33.3
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",Count_of_GPs,4480
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",Percentage_of_GPs_%,37.5
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",Cumulative_Percentage_of_GPs_%,70.8
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",Count_of_GPs,2230
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",Percentage_of_GPs_%,18.7
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",Cumulative_Percentage_of_GPs_%,89.5
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Sample Count,450
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Estimated Population,800
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average SE Gross Earnings,16300
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average SE Expenses,5500
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average SE Income Before Tax,10400
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Emp Gross Earnings,55100
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Emp Expenses,1100
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Emp Income Before Tax,54000
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Gross Earnings,71000
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Expenses,6500
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Income Before Tax,64400
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Income Before Tax Standard Error,1048
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Median Income Before Tax,56300
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Sample Count,1950
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Estimated Population,3850
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average SE Gross Earnings,15700
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average SE Expenses,5900
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average SE Income Before Tax,9500
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Emp Gross Earnings,55800
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Emp Income Before Tax,54800
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Gross Earnings,71200
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Expenses,6900
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Income Before Tax,64300
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Income Before Tax Standard Error,487
