"","Practice.Code","Achievement_AF","Achievement_BP","Achievement_CHD","Achievement_CHOL","Achievement_HF","Achievement_HYP","Achievement_LVSD","Achievement_PAD","Achievement_STIA","Prevalence_AF","Prevalence_BP","Prevalence_CHD","Prevalence_CHOL","Prevalence_HF","Prevalence_HYP","Prevalence_LVSD","Prevalence_PAD","Prevalence_STIA","List.Size_AF","List.Size_BP","List.Size_CHD","List.Size_CHOL","List.Size_HF","List.Size_HYP","List.Size_LVSD","List.Size_PAD","List.Size_STIA"
"1","A84006",81.1724137931034,94.8,94.8571428571428,63.5333333333333,76.3448275862069,96.2,NA,100,94.1818181818182,3.62411121723443,NA,4.86575400615515,NA,1.66082988432559,19.7070996497931,1.16100302178869,0.80653719622201,2.75920619760161,18846,11284,18846,18863,18846,18846,NA,18846,18846
"2","A84005",100,100,99.3571428571429,100,100,100,NA,100,100,2.46409921671018,NA,3.7451044386423,NA,1.10150130548303,17.1263054830287,0.566775764349006,0.783289817232376,2.48041775456919,12256,6256,12256,12527,12256,12256,NA,12256,12256
"3","A84008",100,100,100,98.0666666666667,100,100,NA,100,100,3.94678492239468,NA,4.56762749445676,NA,1.75166297117517,22.2838137472284,1.45316342499441,0.753880266075388,3.32594235033259,4510,2999,4510,4473,4510,4510,NA,4510,4510
"4","A84027",100,93.8666666666667,95.6071428571429,100,100,94,NA,100,99,4.29358862779228,NA,4.32259936176385,NA,1.91470844212359,22.1351900203075,1.43568707881629,0.464171743545112,3.22019147084421,3447,2149,3447,3413,3447,3447,NA,3447,3447
"5","A84047",100,100,100,100,100,100,NA,100,100,3.16657298107551,NA,3.42889263631253,NA,0.936855911560802,17.2381487727188,0.581722649652843,0.730747611017426,2.41708825182687,5337,3153,5337,5329,5337,5337,NA,5337,5337
"6","A84024",100,99.6666666666666,100,100,100,96.84,NA,100,97.0909090909091,3.32258379751783,NA,3.69393139841689,NA,1.43652887716212,20.9909117560833,0.688651794374394,0.79155672823219,2.82419622789016,10233,5868,10233,10310,10233,10233,NA,10233,10233
"7","A84022",96.2413793103448,86,94.3571428571429,94.0666666666667,93.8620689655173,89.32,NA,100,92.7272727272727,3.55014687368863,NA,5.19513218631977,NA,1.22534620226605,20.2937473772556,0.8799601527478,0.956777171632396,3.34872010071339,11915,7072,11915,12046,11915,11915,NA,11915,11915
"8","A84018",94.7241379310345,87.4,98.75,82.9333333333333,100,100,NA,100,100,4.17652791312822,NA,4.45496310733677,NA,1.69845468467214,17.1794514826674,0.913494809688581,0.835305582625644,3.5082834470277,7183,4513,7183,7225,7183,7183,NA,7183,7183
"9","A84025",100,100,100,100,100,90.88,NA,100,100,2.95043273013375,NA,4.74036191974823,NA,2.02596380802518,21.5971675845791,1.5002885170225,1.21951219512195,2.49803304484658,5084,2635,5084,5199,5084,5084,NA,5084,5084
"10","A84619",100,94.6,99.2142857142857,100,100,100,NA,100,100,2.54901960784314,NA,4.38725490196078,NA,1.59313725490196,16.4950980392157,0.746628131021195,0.735294117647059,2.79411764705882,4080,2079,4080,4152,4080,4080,NA,4080,4080
