"Practice.Code","Practice.Name","Practice.Address","Dispensing.Practice","Practice.Rurality"
"E83036","VALE DRIVE MEDICAL PRACTICE","VALE DRIVE MEDICAL PRACTICE VALE DRIVE HEALTH CENTRE VALE DRIVE HIGH BARNET ","No","Urban"
"E83629","DR WESTON & PARTNER","149 EAST BARNET ROAD NEW BARNET HERTS  ","No","Urban"
"E83632","DR CJ PESKIN","149 EAST BARNET ROAD NEW BARNET HERTS  ","No","Urban"
"E84023","DR B TOOTH AND DR S LANDAU","PARK HOUSE MEDICAL CENTRE 18 HARVIST ROAD QUEENS PARK LONDON ","No","Urban"
"E84624","DR LUNA DAS","PARK ROAD SURGERY 26A PARK ROAD HARLESDEN LONDON ","No","Urban"
"E84667","DR L WONG","BLESSING MEDICAL CENTRE 307 KILBURN LANE LONDON  ","No","Urban"
"E84696","DR A I SHAIKH","PEEL PRECINCT SURGERY CARLTON HALL CANTERBURY TERRACE LONDON ","No","MISSING"
"E85105","ALLENBY CLINIC","GRAND UNION MEDICAL CENTRE TAYWOOD ROAD NORTHOLT MIDDLESEX ","No","Urban"
"E85672","DR RN MUTHIAH","178 DAWES ROAD LONDON   ","No","Urban"
"E85700","MANOR HOUSE PRACTICE","FELTHAM CENTRE FOR HEALTH 3RD FLOOR, THE CENTRE FELTHAM MIDDLESEX ","UNKNOWN","Urban"
"E85723","NORTHOLT FAMILY PRACTICE","NORTHOLT FAMILY PRACTICE TAYWOOD ROAD NORTHOLT MIDDLESEX ","No","Urban"
"E87050","THE PRACTICE BEACON ","111-117 LANCASTER ROAD LONDON   ","No","Urban"
"E87735","DR LAI CHUNG FONG (P)","QUEENS PARK HEALTH CENTRE DART STREET LONDON  ","No","Urban"
"F82614","DR S SUBRAMANIAM","SOUTH HORNCHURCH HEALTH CENTRE 106 SOUTHEND ROAD RAINHAM ESSEX ","No","Urban"
"F82653","DR M H FLASZ","CECIL AVENUE SURGERY COSYHAVEN CECIL AVENUE HORNCHURCH ESSEX","No","Urban"
"F82668","DR AK MITTAL'S PRACTICE","MARKYATE SURGERY MEDICAL CENTRE MARKYATE ROAD DAGENHAM, ESSEX ","UNKNOWN","Urban"
"F83677","MATTHEWMAN","87-89 PRINCE OF WALES ROAD KENTISH TOWN ROAD LONDON  ","No","Urban"
"F84043","THE SORSBY HEALTH CENTRE","THE SORSBY HEALTH CENTRE 3 MANDEVILLE STREET LONDON  ","No","Urban"
"F84046","DR D VARMA-BRAYFORD SQUARE","BRAYFORD SQUARE PRACTICE 5 BRAYFORD SQUARE STEPNEY LONDON ","No","Urban"
"F84624","ABNEY HOUSE MEDICAL CENTRE","ABNEY HOUSE MEDICAL CENTRE 2 DEFOE ROAD STOKE NEWINGTON LONDON ","No","Urban"
"F84673","ESK ROAD - DR VENUGOPAL","12 ESK ROAD LONDON   ","No","Urban"
"F84702","ALL SAINTS PRACTICE","NEWBY HEALTH CENTRE 21 NEWBY PLACE LONDON  ","UNKNOWN","Urban"
"F84706","SWEDAN LORD LISTER HEALTH CENTRE","LORD LISTER HEALTH CENTRE 121 WOODGRANGE ROAD FOREST GATE LONDON ","No","Urban"
"F84734","BOLEYN ROAD - DR S RAFIQ","162 BOLEYN ROAD LONDON   ","No","Urban"
"F85024","DEAN HOUSE SURGERY","193 HIGH STREET PONDERS END ENFIELD MIDDX ","No","Urban"
"F85027","CARLTON HOUSE SURGERY","CARLTON HOUSE SURGERY 28 TENNISWOOD ROAD ENFIELD MIDDLESEX ","No","Urban"
"F85036","WILLOW HOUSE SURGERY","WILLOW HOUSE SURGERY 285 WILLOW ROAD ENFIELD MIDDLESEX ","No","Urban"
"F85045","DR FRIEDMANN","DOCTORS SURGERY 46 QUEENS AVENUE MUSWELL HILL LONDON ","No","Urban"
"F85053","PARK LODGE MEDICAL CENTRE","PARK LODGE MEDICAL CENTRE 808 GREEN LANES WINCHMORE HILL LONDON ","No","Urban"
"F85055","CONNAUGHT SURGERY","CONNAUGHT SURGERY 144 HEDGE LANE PALMERS GREEN LONDON ","No","Urban"
"F85645","DR PRASAD","52 MYDDLETON ROAD WOOD GREEN LONDON  ","No","Urban"
"F85656","BUSH HILL PARK MEDICAL CENTRE","BUSH HILL PARK MEDICAL CENTRE 25 MELBOURNE WAY BUSH HILL PARK ENFIELD ","No","Urban"
"F85681","GREEN STREET SURGERY","48 GREEN STREET ENFIELD MIDDX  ","No","Urban"
"F85684","CURZON AVENUE SURGERY","74 CURZON AVE PONDERS END ENFIELD  ","No","Urban"
"F85703","LINCOLN ROAD MEDICAL PRACTICE","LINCOLN ROAD MEDICAL PRACTICE LINCOLN ROAD BUSH HILL PARK ENFIELD ","No","Urban"
"F86073","LEYTON GREEN NEIGHBOURHOOD HS","180 ESSEX ROAD  LEYTON  ","UNKNOWN","Urban"
"G83005","CAIRNGALL MEDICAL PRACTICE","CAIRNGALL MEDICAL PRAC. 2 ERITH ROAD BELVEDERE KENT ","UNKNOWN","Urban"
"G83022","WESTMOUNT SURGERY","191 WESTMOUNT ROAD ELTHAM LONDON  ","No","Urban"
"G83034","DR LIVINGSTONE J S","ELTHAM PARK SURGERY 46 WESTMOUNT ROAD ELTHAM LONDON ","No","Urban"
"G83037","BULBANKS MEDICAL CENTRE","BULBANKS MEDICAL CENTRE 62 BATTLE ROAD ERITH KENT ","No","Urban"
"G83061","CROOK LOG SURGERY","19 CROOK LOG BEXLEYHEATH KENT  ","No","Urban"
"G83064","THANET ROAD SURGERY","63 THANET ROAD BEXLEY KENT  ","UNKNOWN","Urban"
"G83663","BRISET CORNER SURGERY","BRISET CORNER SURGERY 591 WESTHORNE AVENUE ELTHAM LONDON ","No","Urban"
"G84021","CHARTERHOUSE SURGERY","59 SEVENOAKS ROAD ORPINGTON KENT  ","No","Urban"
"G84022","TRINITY MEDICAL CENTRE","33 CROYDON ROAD PENGE   ","No","Urban"
"G84628","CROSS HALL SURGERY","31 HIGH STREET ST MARY CRAY ORPINGTON KENT ","UNKNOWN","Urban"
"G85008","MORNINGTON SURGERY (S-KRISHNA)","433 NEW CROSS ROAD LONDON   ","No","Urban"
"G85035","THE MORDEN HILL SURGERY (DR ABRAHAM)","21 MORDEN HILL LONDON   ","No","Urban"
"G85036","BARING ROAD MEDICAL CENTRE","BARING ROAD MEDICAL CTR 282 BARING ROAD GROVE PARK LONDON ","UNKNOWN","Urban"
"G85048","BROCKLEY SURGERY (DR MALDE)","465-467 BROCKLEY ROAD BROCKLEY LONDON  ","No","Urban"
"G85050","SIR JOHN KIRK CLOSE SURGERY","3 SIR JOHN KIRK CLOSE LONDON   ","No","Urban"
"G85082","DR SINHA","10 MADDOCK WAY COOKS ROAD LONDON  ","No","Urban"
"G85106","BOROUGH MEDICAL CENTRE (DR MISRA)","BOROUGH MEDICAL CENTRE LORNAMEAD HOUSE 1-5 NEWINGTON CAUSEWAY LONDON ","No","Urban"
"G85118","STREATHAM PLACE (HURLEY)","28 STREATHAM PLACE LONDON   ","No","Urban"
"G85717","WALDRON HEALTH CENTRE (DR BATRA)","WALDRON HEALTH CENTRE STANLEY STREET LONDON  ","No","Urban"
"H83046","FIELDWAY MEDICAL CENTRE","FIELDWAY MC,15A DANEBURY FIELDWAY,NEW ADDINGTON CROYDON SURREY ","UNKNOWN","Urban"
"H84043","CROWLEY & PARTNERS","NORTH ROAD SURGERY 77 NORTH ROAD KEW RICHMOND SURREY","No","Urban"
"H84608","DR A SAYER","THE RICHMOND GREEN MEDICAL CENTRE 19 THE GREEN RICHMOND SURREY ","No","Urban"
"H84632","DR A PALACCI & PARTNERS","DR PALACCI AND PARTNERS 22 CASTELNAU BARNES LONDON ","No","Urban"
"H85019","JOLLEY A W.& PARTNER","THE G P CENTRE 322 MALDEN ROAD CHEAM  ","No","Urban"
"H85054","DR MUKTAR AND DR AL-SANJARY","THE G P CENTRE 322 MALDEN ROAD NORTH CHEAM  ","No","Urban"
"Y00212","POLLARD ROW SURGERY","POLLARD ROW SURGERY 47 POLLARD ROW   ","No","Urban"
"Y00454","BOROUGH MEDICAL CENTRE (SHARMA)","BOROUGH MEDICAL CENTRE LORNAMEAD HOUSE 1-5 NEWINGTON CAUSEWAY LONDON ","No","Urban"
"Y02260","DR MAHER SHAKARCHI'S PRACTICE","THE BELGRAVE MEDICAL CENTRE 13 PIMLICO ROAD LONDON  ","No","Urban"
"Y02585","ORIENT PRACTICE","ORIENT PRACTICE OLIVER ROAD POLYCLINIC 1ST FLOOR 75 OLIVER ROAD LEYTON","No","Urban"
"Y02914","ANGEL MEDICAL PRACTICE","ANGEL MEDICAL PRACTICE 34 RITCHIE STREET  LONDON ","UNKNOWN","Urban"
"Y05566","HHCIC EAST WIC","516 KENTON LANE  HARROW LONDON ","UNKNOWN","Urban"
