"Practice.Code","Year_Closure","Year","NHS.England..Region..code","NHS.England..Region..Name","CCG.Code","CCG.NAME","Practice.Name","Practice.Address","Practice.Postcode","Practice.Open.Date","Practice.Close.Date","Contract.Type","Dispensing.Practice","Quarter.used.for.patient.data","Number.of.Registered.Patients..Last.Known.Figure.","Number.of.Weighted.Patients..Last.Known.Figure.","Average.payments.per.registered.patient","Average.payments.per.weighted.patient","Global.Sum","MPIG.Correction.factor","Premises.Payments","Seniority","Doctors.Retainer.Scheme.Payments","Total.Locum.Allowances","Prolonged.Study.Leave","Appraisal.Costs","PCO.Admin.Other","Total.QOF.Payments","Alcohol","Childhood.Vaccination.and.Immunisation.Scheme","GP.Extended.Hours.Access","Facilitating.Timely.Diagnosis.and.Support.for.People.with.Dementia","Improving.Patient.Online.Access","Influenza.and.Pneumococcal.Immunisations","Learning.Disabilities","Minor.Surgery","Patient.Participation","Remote.Care.Monitoring","Risk.Profiling.and.Case.Management","Rotavirus.and.Shingles.Immunisation","Services.for.Violent.Patients","Unplanned.Admissions","Total.National.Enhanced.Services","Total.Local.Enhanced.Services","Information.Management.and.Technology","Balance.of.PMS.Expenditure","Non.DES.Item.Pneumococcal.Vaccine..Childhood.Immunisation.Main.Programme","Prescribing.Fee.Payments","Dispensing.Fee.Payments","Reimbursement.of.Drugs","Other.Payments","Total.NHS.Payments.to.General.Practice","Deductions.for.Pensions..Levies.and.Prescription.Charge.Income","Total.NHS.Payments.to.General.Practice.Minus.Deductions","Out.Of.Area.in.Hours.Urgent.Care","Meningitis","LocalEnhancedServices_NHAIS_","LocalEnhancedServices_ISFE_","General.Practice.Forward.View","Pertussis","Total.Local.Incentive.Schemes","PCN.Name","PCN.Participation","PCN.Leadership","PCN.Support","PCN.Extended.Hours.Access","PCN.Workforce","PCN.Investment.and.impact.Fund","PCN.Care.Home.Premium","Covid.Immunisation","Covid.Support.and.Expansion","Average.payments.per.registered.patient.including.PCN.Workforce..Leadership.and.Support","Average.payments.per.weighted.patient.including.PCN.Workforce..Leadership.and.Support","Average.payments.per.registered.patient.including.covid.vaccination.and.covid.support.and.expansion.payments","Average.payments.per.weighted.patient.including.covid.vaccination.and.covid.support.and.expansion.payments","Total.COVID.Payments","Total.PCN.Payments","Medical.Assessment.Reviews","Weight.Management.Service","General.Practice.Transformation","winter.Access.Fund","Long.Covid","Average.payments.per.registered.patient.including.covid.vaccination..covid.support.and.long.covid.payments","Average.payments.per.weighted.patient.including.covid.vaccination..covid.support.and.long.covid.payments","Sub.ICB.NAME","Local.Incentive.Schemes","Appraisal...Appraiser.Costs.in.Respect.of.Locums","PCN.Enhanced.Access","ICB.NAME","Practice.Type","Practice.Rurality","Atypical.Characteristics","PCN.Code","Total.Global.Sum","Total.IT.Premises","Total.PCO","Total.Contracted.Services","Total.Prescribing","Total.COVID","IMD","IMD_quintile"
"A00001",2015,2015,"Q57","Essex","06T","North East Essex","At Ace At Apms Practice","Kennedy House Kennedy Way Clacton On Sea Essex ","CO154AB","-","31/03/2015","PMS","No","Q2",0,0,0,0,0,0,206000,0,0,0,0,0,-600,304999,0,2918,0,5452,0,28642,580,0,0,0,0,1329,0,25483,2721,88914,0,2703543,0,0,0,54776,-218365,3206391,-318961,2887430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suffolk and North East Essex",NA,NA,NA,NA,2703543,206000,-218965,156039,54776,0,NA,NA
"A00001",2015,2016,"Q79","NHS ENGLAND MIDLANDS AND EAST (EAST)","06T","NHS NORTH EAST ESSEX CCG","At Ace At Apms Practice","Kennedy House Kennedy Way Clacton On Sea Essex ","CO154AB","","31/03/2015","PMS","No","Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804.83,0,3804.83,0,3804.83,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suffolk and North East Essex",NA,NA,NA,NA,0,0,0,0,3804.83,0,NA,NA
"A81632",2019,2019,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","00K","NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG","THE BIRCHTREE PRACTICE","THE HEALTH CENTRE LAWSON STREET STOCKTON ON TEES  ","TS18 1HU","01/03/2002"," ","APMS","No",NA,461.25,326.71,960.86,1356.53,189999.96,0,225136.4,0,0,0,0,0,0,0,NA,0,0,NA,NA,9.8,0,0,NA,NA,NA,0,26671.37,NA,NA,NA,0,0,0,0,0,0,580.2,443197.33,0,443197.33,0,0,NA,NA,0,0,799.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","",NA,189999.96,225136.4,580.2,27480.77,0,0,49.82524324,5
"A81632",2019,2018,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","00K","NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG","THE BIRCHTREE PRACTICE","THE HEALTH CENTRE LAWSON STREET STOCKTON ON TEES  ","TS18 1HU","01/03/2002","","APMS","No","Q4",511,355.8,793.01,1138.92,214273,0,149807.2,0,0,0,0,0,0,16.26,NA,0,0,0,NA,0,0,0,NA,NA,NA,0,38534.39,0,NA,497.16,0,0,0,0,0,0,2101.73,405229.74,0,405229.74,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","",NA,214273,149807.2,2101.73,39031.55,0,0,49.3849331775,5
"A81632",2019,2015,"Q45","Durham, Darlington and Tees","00K","Hartlepool and Stockton-on-Tees","The Birchtree Practice","The Health Centre Lawson Street Stockton On Tees  ","TS181HU","-","-","APMS","No","Q2",725,477,909.99,1383.6,530004,0,143316,0,0,0,0,0,0,-8529,0,0,0,272,0,1146,0,0,0,0,571,0,1203,1582,0,0,0,0,0,0,0,2342,-12168,659740,-56403,603337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,530004,143316,-12168,4774,2342,0,48.06400299,5
"A81632",2019,2016,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","00K","NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG","The Birchtree Practice","The Health Centre Lawson Street Stockton On Tees  ","TS181HU","","","APMS","No","Q2",670,448.2188906,1004.71,1501.85,560241.81,0,114652.4,0,0,0,0,0,0,-1262.67,0,0,0,0,0,7.64,0,0,0,0,0,0,2697.9,1976.82,7.67,0,0,0,1186.58,0,0,1233.45,-7583.1,673158.5,-48858.39,624300.11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,560241.81,114652.4,-7583.1,5876.61,1233.45,0,48.5043130525,5
"A81632",2019,2017,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","00K","NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG","THE BIRCHTREE PRACTICE","THE HEALTH CENTRE LAWSON STREET STOCKTON ON TEES  ","TS18 1HU","01/03/2002","","APMS","No","Q4",591,407,931.96,1353.28,450899.99,0,71055.8,0,0,0,0,0,0,0,NA,0,0,83.87,NA,0,0,0,NA,NA,NA,0,27125.41,1418.97,17.47,335.78,0,0,210.28,0,0,345.08,-702.74,550789.91,-20377.15,530412.76,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","",NA,450899.99,71055.8,-702.74,29191.78,345.08,0,48.944623115,5
"A81632",2019,2020,"Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","00K","NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG","THE BIRCHTREE PRACTICE","THE HEALTH CENTRE LAWSON STREET STOCKTON ON TEES  ","TS18 1HU","01/03/2002","31/05/2019","UNKNOWN","No",NA,14,9.94,893.79,1258.51,0,0,13529.21,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,280.65,12513.1,0,12513.1,0,0,NA,NA,0,0,-1296.76,"Unknown or no PCN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","| Part year of data |","Unknown or no PCN",0,13529.21,280.65,-1296.76,0,0,49.82524324,5
"A82060",2019,2022,"Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","01H","NHS NORTH CUMBRIA CCG","WHITEHAVEN MEDICAL CENTRE","WHITEHAVEN MEDICAL CENTRE CATHERINE STREET WHITEHAVEN CUMBRIA ","CA28 7PA","01/04/1974","30/11/2019","Unknown","Unknown",NA,1,0.88,156.97,178.38,156.97,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,156.97,0,156.97,0,0,NA,NA,NA,0,0,"Unknown or no PCN",0,0,0,0,0,0,0,0,0,156.97,178.38,NA,NA,0,0,0,0,0,0,0,156.97,178.38,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Missing","| Part year of data || Large fluctuation in patients |","Unknown or no PCN",156.97,0,0,0,0,0,26.741625,4
"A82060",2019,2023,"Y63","NORTH EAST AND YORKSHIRE COMM REGION","01H","Unknown or no PCN","WHITEHAVEN MEDICAL CENTRE","WHITEHAVEN MEDICAL CENTRE CATHERINE STREET WHITEHAVEN CUMBRIA ","CA28 7PA","01/04/1974","30/11/2019","Unknown","Unknown",NA,0,0,0,0,-156.97,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,-156.97,0,-156.97,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H",0,0,0,"North East and North Cumbria","GP practice","Urban","| No registered patients |","Unknown or no PCN",-156.97,0,0,0,0,0,26.741625,4
