"Year","Practice.Code"
2016,"N81634"
2016,"N81104"
2016,"N85056"
2016,"Y02664"
2016,"Y02673"
2016,"Y02880"
2016,"Y00618"
2016,"P84659"
2016,"P84627"
2016,"P84063"
2016,"P84057"
2016,"P85029"
2016,"P87629"
2016,"P87641"
2016,"P84677"
2016,"P88033"
2016,"P88001"
2016,"P92632"
2016,"P92606"
2016,"P81109"
2016,"P81629"
2016,"P81677"
2016,"P81705"
2016,"P81745"
2016,"N84616"
2016,"N84032"
2016,"N83016"
2016,"Y02595"
2016,"N82659"
2016,"A85015"
2016,"A84618"
2016,"A89618"
2016,"Y02647"
2016,"A82011"
2016,"B81679"
2016,"B82627"
2016,"B81098"
2016,"B82058"
2016,"B82043"
2016,"B82082"
2016,"B82048"
2016,"Y02850"
2016,"C85627"
2016,"C88075"
2016,"C88013"
2016,"B86046"
2016,"B85625"
2016,"B85628"
2016,"B85629"
2016,"Y02529"
2016,"M86043"
2016,"M84057"
2016,"M84027"
2016,"M84048"
2016,"M87614"
2016,"M87032"
2016,"Y02702"
2016,"M88017"
2016,"M85809"
2016,"M85655"
2016,"M91039"
2016,"M92020"
2016,"M92637"
2016,"M92610"
2016,"M85166"
2016,"C81011"
2016,"Y02977"
2016,"C84675"
2016,"C84678"
2016,"C81116"
2016,"C81617"
2016,"C84674"
2016,"C84636"
2016,"C84632"
2016,"C84666"
2016,"C84146"
2016,"C84149"
2016,"C81079"
2016,"D82055"
2016,"D82103"
2016,"D82021"
2016,"F81736"
2016,"F81734"
2016,"F81699"
2016,"F81676"
2016,"C82641"
2016,"C82625"
2016,"Y00451"
2016,"M83695"
2016,"L84019"
2016,"L84621"
2016,"J83634"
2016,"J83627"
2016,"L81092"
2016,"L81116"
2016,"L85029"
2016,"L81134"
2016,"L82055"
2016,"L83133"
2016,"L83093"
2016,"L83126"
2016,"L83149"
2016,"G82748"
2016,"G82004"
2016,"G82644"
2016,"G82818"
2016,"G82030"
2016,"G81636"
2016,"G81005"
2016,"H82625"
2016,"H82068"
2016,"G81692"
2016,"Y00061"
2016,"K84029"
2016,"K84608"
2016,"K84615"
2016,"K82608"
2016,"K82071"
2016,"J82031"
2016,"J82159"
2016,"J82037"
2016,"J82167"
2016,"J82612"
2016,"J82634"
2016,"J82186"
2016,"E83659"
2016,"G83605"
2016,"G84037"
2016,"F83663"
2016,"F83040"
2016,"F84042"
2016,"H83035"
2016,"F85009"
2016,"F85037"
2016,"G83042"
2016,"Y02589"
2016,"E85673"
2016,"F85022"
2016,"F85665"
2016,"F85641"
2016,"F85660"
2016,"E84670"
2016,"F82608"
2016,"F82657"
2016,"F82744"
2016,"F83630"
2016,"H84609"
2016,"H84607"
2016,"F84699"
2016,"H84615"
2016,"G85707"
2016,"E87630"
2016,"E87670"
2016,"E87717"
2016,"E87014"
2017,"C85012"
2017,"E81618"
2017,"K81044"
2017,"K81667"
2017,"Y01680"
2017,"Y02963"
2017,"M85003"
2017,"M85036"
2017,"M85704"
2017,"M85738"
2017,"M85784"
2017,"M85791"
2017,"L81663"
2017,"L81002"
2017,"L81074"
2017,"L81635"
2017,"D81006"
2017,"N81126"
2017,"M86630"
2017,"Y02613"
2017,"Y02784"
2017,"L82019"
2017,"L82611"
2017,"L82621"
2017,"A82619"
2017,"A82635"
2017,"A82641"
2017,"L83109"
2017,"L83613"
2017,"A83068"
2017,"A00001"
2017,"F81129"
2017,"F81719"
2017,"F81172"
2017,"F81710"
2017,"F81661"
2017,"Y00915"
2017,"L84609"
2017,"P85603"
2017,"Y01634"
2017,"G82670"
2017,"G82739"
2017,"Y01009"
2017,"G82651"
2017,"Y02748"
2017,"Y02786"
2017,"B81686"
2017,"P81746"
2017,"P81624"
2017,"Y02837"
2017,"B86674"
2017,"B86065"
2017,"B86102"
2017,"Y02725"
2017,"C82655"
2017,"F84659"
2017,"F82629"
2017,"F82052"
2017,"F83013"
2017,"F83031"
2017,"F85646"
2017,"F85658"
2017,"F85680"
2017,"E83640"
2017,"E83645"
2017,"E83651"
2017,"E83652"
2017,"E83664"
2017,"E87705"
2017,"E86622"
2017,"E86635"
2017,"E84064"
2017,"E85731"
2017,"E85724"
2017,"Y02379"
2017,"H84633"
2017,"H85016"
2017,"H85650"
2017,"H83635"
2017,"G85078"
2017,"G85703"
2017,"Y02897"
2017,"Y02726"
2017,"D82629"
2017,"Y00284"
2017,"C84143"
2017,"Y04800"
2017,"K84039"
2017,"K84077"
2017,"Y02719"
2017,"C87612"
2017,"M82001"
2017,"M82054"
2017,"M82607"
2017,"M82612"
2017,"C88653"
2017,"P91025"
2017,"P91027"
2017,"P91605"
2017,"L85602"
2017,"N84622"
2017,"Y02498"
2017,"Y02514"
2017,"J82658"
2017,"J82032"
2017,"J82182"
2017,"J82631"
2017,"Y00334"
2017,"M83662"
2017,"Y03430"
2017,"M83043"
2017,"D83052"
2017,"D83618"
2017,"G81611"
2017,"G81627"
2017,"M91610"
2017,"Y02628"
2017,"M84068"
2017,"Y02640"
2017,"M92642"
2017,"Y04654"
2017,"B82099"
2017,"B82055"
2018,"A81003"
2018,"A81069"
2018,"A81605"
2018,"A81609"
2018,"A81623"
2018,"A82011"
2018,"A82017"
2018,"A82040"
2018,"A82052"
2018,"A82642"
2018,"A83638"
2018,"A84613"
2018,"A86009"
2018,"A89038"
2018,"A89621"
2018,"B81044"
2018,"B81072"
2018,"B81622"
2018,"B81644"
2018,"B81674"
2018,"B81690"
2018,"B82006"
2018,"B82076"
2018,"B83071"
2018,"B85644"
2018,"C81011"
2018,"C81024"
2018,"C81627"
2018,"C81629"
2018,"C81633"
2018,"C81665"
2018,"C82065"
2018,"C82081"
2018,"C82106"
2018,"C82108"
2018,"C83021"
2018,"C83081"
2018,"C83615"
2018,"C83644"
2018,"C83655"
2018,"C83656"
2018,"C84648"
2018,"C84700"
2018,"C84706"
2018,"C85617"
2018,"C87617"
2018,"C88638"
2018,"D81048"
2018,"D83071"
2018,"E81072"
2018,"E82653"
2018,"E84056"
2018,"E84661"
2018,"E84706"
2018,"E84708"
2018,"E85705"
2018,"E85728"
2018,"E87055"
2018,"E87649"
2018,"E87699"
2018,"E87718"
2018,"E87723"
2018,"E87727"
2018,"F81005"
2018,"F81033"
2018,"F81162"
2018,"F81180"
2018,"F81210"
2018,"F81639"
2018,"F81667"
2018,"F81672"
2018,"F81695"
2018,"F81717"
2018,"F82020"
2018,"F82643"
2018,"F83049"
2018,"F83602"
2018,"F84727"
2018,"F84733"
2018,"F85049"
2018,"F85059"
2018,"F85632"
2018,"F85643"
2018,"F85679"
2018,"F85699"
2018,"F85708"
2018,"F86635"
2018,"F86686"
2018,"G81020"
2018,"G81640"
2018,"G81649"
2018,"G81676"
2018,"G81685"
2018,"G81687"
2018,"G82061"
2018,"G82124"
2018,"G82156"
2018,"G82210"
2018,"G82630"
2018,"G82649"
2018,"G82656"
2018,"G82764"
2018,"G82769"
2018,"G82810"
2018,"G82812"
2018,"G83007"
2018,"G83063"
2018,"G83068"
2018,"G83655"
2018,"G85094"
2018,"G85682"
2018,"H81125"
2018,"H81622"
2018,"H82024"
2018,"H82086"
2018,"H82101"
2018,"H82643"
2018,"H83025"
2018,"H83041"
2018,"H83623"
2018,"H84049"
2018,"H84637"
2018,"H85056"
2018,"H85086"
2018,"J81026"
2018,"J81623"
2018,"J81640"
2018,"J82038"
2018,"J82052"
2018,"J82086"
2018,"J82091"
2018,"J82096"
2018,"J82175"
2018,"J82191"
2018,"J82203"
2018,"J82629"
2018,"J82650"
2018,"K81061"
2018,"K83004"
2018,"K84022"
2018,"K84074"
2018,"K84621"
2018,"L81006"
2018,"L81092"
2018,"L81108"
2018,"L81128"
2018,"L81633"
2018,"L82002"
2018,"L82040"
2018,"L83017"
2018,"L83114"
2018,"L83121"
2018,"L83633"
2018,"L84604"
2018,"L85045"
2018,"M81065"
2018,"M82050"
2018,"M83613"
2018,"M84608"
2018,"M85059"
2018,"M85111"
2018,"M85163"
2018,"M85786"
2018,"M86604"
2018,"M86629"
2018,"M87634"
2018,"M89006"
2018,"M89011"
2018,"M89020"
2018,"M89023"
2018,"M89609"
2018,"N81625"
2018,"N82657"
2018,"N83016"
2018,"N83056"
2018,"N83057"
2018,"N83636"
2018,"N84009"
2018,"N85029"
