Practice Postcode,Practice Code
KA106QN,
E163JL,F84708
BT358RX,
NE630XX,A84015
AB451JD,
AB453ZG,
BB51EE,P81749
B139LH,M85127
DT40AE,J81055
N160EF,F84624
Y0244HD,
NW108UT,E84645
LS168EX,
SK38PN,P88617
M80WB,P84623
B65HA,Y02164
M160LW,P91619
G225SS,
ME160RB,G82793
BT440AB,
WA45EQ,Y04926
LN25HU,C83081
CV376PG,M84617
BN176AW,H82069
TW153FE,
SS179BG,F81644
SW129DL,H85056
CA125JY,A82063
IP60AS,
E63BP,F84032
SW139RU,H84632
PL99BR,L83125
L126QX,
CR04PG,H85674
PO360DE,J84020
HA98ER,E84084
S119RL,C88061
NG84FD,C84647
DY31JA,M87629
CO20NL,
BS79EG,L81112
WV111BB,
E79QJ,F84734
SE16ED,Y00454
BH51HQ,J81645
HP43EU,E82076
NW42JL,E83656
BA149AR,J83028
DH78SJ,A83630
TA230LA,L85602
AB219DG,
SE96JX,G83663
DT28EP,J81623
PO123AX,J82133
CH71JY,
E177NT,F86049
NW104RR,E84026
PE12QE,
BT119AE,
HX50AQ,B84017
BT358JT,
W36BA,E85705
LN13LT,C83615
BT69DL,
BT72EB,
HA14EJ,
DA176EZ,G83005
NE241QS,
PO51RN,J82159
CF119PR,
RG226ER,J82065
ME104JA,G82175
TR151SS,Y02596
MK428DR,E81023
S727BB,C85628
RM112LY,F82653
CM14JW,
CT91BD,G82769
S601RY,Y02616
HA39HT,E84064
CM35YJ,
BR69JN,G84021
B129LJ,
HU89LF,B81644
SW193NY,
DG109ES,
NW67TG,E84056
BS234BP,L81119
DE236LR,C81629
BS84AH,L81633
LE673DX,C82655
SA20YB,
NG42NJ,C84010
B628AF,
RH101HS,Y02531
BH14JT,J81624
CT54AR,
CT65NR,G82204
B632DH,M87625
S101EA,C88057
BR53NL,G84628
LN68NH,C83637
EN34UE,F85684
RM142HF,F82608
NG24LG,C84672
BB101LZ,P81756
EN34DZ,F85024
SW147DF,H84615
OX285YT,K84622
BT929LB,
NG82BD,
DE128JW,
DE224DY,
SY131EN,M82044
PE14QF,D81624
OL12HG,P85001
CT161RH,G82662
B436PA,M88024
HG32XT,B82627
DL41DU,A83638
DT20JR,
W1G6BB,E87717
SE92JY,G83063
WN71AZ,P92643
L46SG,N82657
W114NH,
SS73XF,F81667
DY83PA,
RM53PR,F82639
UB34JE,E86622
CT92AL,
DN345DA,B81671
