code_April_2020,previous_practice_codes,fm_1000_code_2020,lm_1000_code_2020,fm_1000_previous_codes,lm_1000_previous_codes
A81001,A81001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81002,A81002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81044,A81003,01/04/2013,01/04/2022,01/04/2013,01/10/2016
A81004,A81004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81005,A81005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81006,A81006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81007,A81007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81042,A81008,01/04/2013,01/04/2022,01/04/2013,01/01/2017
A81009,A81009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81011,A81011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81012,A81012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81013,A81013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81014,A81014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81042,A81015,01/04/2013,01/04/2022,01/04/2013,01/04/2018
A81016,A81016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81017,A81017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81018,A81018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81019,A81019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81020,A81020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81021,A81021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81022,A81022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81023,A81023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81025,A81025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81026,A81026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81027,A81027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81029,A81029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81030,A81030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81031,A81031,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81032,A81032,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81026,A81033,01/04/2013,01/04/2022,01/04/2013,01/02/2018
A81034,A81034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81035,A81035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81036,A81036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81037,A81037,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81038,A81038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81039,A81039,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81040,A81040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81041,A81041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81042,A81042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81043,A81043,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81044,A81044,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81045,A81045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81046,A81046,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81048,A81047,01/04/2013,01/04/2022,01/04/2013,01/07/2017
A81048,A81048,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81049,A81049,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81051,A81051,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81052,A81052,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81053,A81053,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81054,A81054,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81056,A81056,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81057,A81057,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81058,A81058,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81060,A81060,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81063,A81063,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81064,A81064,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81065,A81065,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81066,A81066,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81067,A81067,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81018,A81069,01/04/2013,01/04/2022,01/04/2013,01/01/2016
A81070,A81070,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81602,A81602,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81018,A81605,01/04/2013,01/04/2022,01/04/2013,01/01/2016
A81608,A81608,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81006,A81609,01/04/2013,01/04/2022,01/04/2013,01/04/2016
A81610,A81610,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81611,A81611,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81612,A81612,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81044,A81613,01/04/2013,01/04/2022,01/04/2013,01/07/2016
A81618,A81618,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81621,A81621,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81622,A81622,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81623,A81623,01/04/2013,01/01/2016,01/04/2013,01/01/2016
A81629,A81629,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81631,A81631,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A81633,A81633,01/10/2018,01/04/2022,01/10/2018,01/04/2022
A81634,A81634,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82003,A82003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82004,A82004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82005,A82005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82006,A82006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82007,A82007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82008,A82008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82009,A82009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82010,A82010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82072,A82011,01/04/2013,01/04/2022,01/04/2013,01/01/2015
A82012,A82012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82013,A82013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82014,A82014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82015,A82015,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82016,A82016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82016,A82017,01/04/2013,01/04/2022,01/04/2013,01/10/2016
A82018,A82018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82019,A82019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82020,A82020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82021,A82021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82022,A82022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82023,A82023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82024,A82024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82025,A82025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82026,A82026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82027,A82027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82028,A82028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
