"","PRAC_CODE","TOTAL_GP_HC","TOTAL_GP_FTE","Date"
"1","A81070","1","0.666666667","1809"
"2","A81602","1","1","2309"
"3","A81622","1","0.666666667","2206"
"4","A81633","1","0.493333333","2012"
"5","A81634","1","0.250133333","2309"
"6","A82019","1","0.746666667","2309"
"7","A82024","1","0.666666667","2306"
"8","A82041","1","0.853333333","1909"
"9","A82058","1","0.986666667","2307"
"10","A82623","1","1","1709"
"11","A82650","1","0.96","2302"
"12","A83008","1","1","2309"
"13","A83610","1","0.586666667","2309"
"14","A83630","1","1","2009"
"15","A83634","1","0.444266667","2309"
"16","A83635","1","0.8","2309"
"17","A83637","1","0.67","1709"
"18","A83641","1","0.44","1909"
"19","A85002","1","0.72","2309"
"20","A85013","1","0.8888","2309"
"21","A85609","1","0.9","1909"
"22","A87019","1","1","2303"
"23","A88007","1","0.56","2210"
"24","A88010","1","0.986666667","2009"
"25","A88014","1","1","2309"
"26","A88603","1","1","1809"
"27","A89006","1","0.661066667","2308"
"28","A89031","1","0.6384","1809"
"29","A89036","1","1","2204"
"30","A89603","1","1","2009"
"31","A89612","1","1","1709"
"32","A89616","1","1","2309"
"33","A89623","1","1","2309"
"34","B81012","1","0.986666667","2309"
"35","B81055","1","0.853333333","2305"
"36","B81060","1","0.666666667","2303"
"37","B81075","0","0","1709"
"38","B81097","1","0.626666667","2309"
"39","B81100","1","0.746666667","2309"
"40","B81631","1","1","2309"
"41","B81642","1","0.853333333","2309"
"42","B81645","1","0.64","2304"
"43","B81647","1","1","2208"
"44","B81658","1","0.266666667","2208"
"45","B81663","1","1","1709"
"46","B81664","1","0.986666667","2209"
"47","B81665","1","0.933333333","2309"
"48","B81693","1","1","1809"
"49","B81697","1","0.986666667","2309"
"50","B83015","1","0.84","2111"
"51","B83032","1","1","2309"
"52","B83602","1","0.44","1709"
"53","B83611","1","1","1809"
"54","B83613","1","0.453333333","1809"
"55","B83617","1","0.56","2206"
"56","B83627","1","0.777866667","2309"
"57","B83628","1","0.7392","2309"
"58","B83638","1","0.89","1709"
"59","B83642","1","0.890133333","2309"
"60","B84017","1","1","1709"
"61","B85001","1","0.96","2309"
"62","B85004","1","0.426666667","2309"
"63","B85058","1","0.986666667","1809"
"64","B85623","1","0.78","2309"
"65","B85634","1","0.933333333","2309"
"66","B85640","1","1","1709"
"67","B85655","1","0.32","2309"
"68","B86023","1","0.6112","2106"
"69","B86058","1","1","1709"
"70","B86061","1","0.853333333","2309"
"71","B86104","1","0.666666667","2111"
"72","B86655","1","0.986666667","2309"
"73","B87036","1","1","2309"
"74","B87042","1","0.64","2304"
"75","B87044","1","1","2309"
"76","C81026","1","1","2309"
"77","C81074","1","0.666666667","2306"
"78","C81077","1","0.986666667","2309"
"79","C81091","1","0.266666667","2207"
"80","C81611","1","0.16","2309"
"81","C81648","1","0.853333333","1909"
"82","C82059","1","0.4","1709"
"83","C82105","1","1","1909"
"84","C82600","1","0.986666667","2309"
"85","C82614","1","0.853333333","2207"
"86","C82626","1","0.986666667","1809"
"87","C82649","1","0.8","2309"
"88","C82660","1","0.08","2309"
"89","C82680","1","0.64","2309"
"90","C83062","1","1","2309"
"91","C83083","1","0.933333333","2109"
"92","C84031","1","0.426666667","2110"
"93","C84057","1","1","2009"
"94","C84067","1","1","2205"
"95","C84123","1","1","1709"
"96","C84135","1","0.986666667","2109"
"97","C84151","1","1","2111"
"98","C84624","1","0.64","2309"
"99","C84629","1","0.933333333","2309"
"100","C84650","1","0.666666667","1909"
"101","C84654","1","0.819973973","2309"
"102","C84676","1","0.879363598","2009"
"103","C84679","1","1","1809"
"104","C84698","0","0","1809"
"105","C84704","1","1","1709"
"106","C85001","1","0.7","2304"
"107","C85006","1","0.64","2309"
"108","C85614","1","0.986666667","2309"
"109","C85622","1","1","2309"
"110","C86003","1","0.613333333","2202"
"111","C86025","1","1","2309"
"112","C86030","1","1","1709"
"113","C86616","0","0","1709"
"114","C86625","1","1","2303"
