Practice.Code,Outcome,Outcome2
E83036,Merged,Merged
E83037,NA,Merged
E83629,Merged,Merged
E83632,Merged,Merged
E83650,NA,Merged
E83657,NA,Merged
E84023,NA,Closed
E84077,NA,Merged
E84624,NA,Closed
E84667,NA,Closed
E84696,NA,Closed
E84713,NA,Merged
E85018,NA,Merged
E85105,Merged,Closed
E85630,NA,Closed
E85672,NA,Closed
E85700,Merged,Merged
E85714,NA,Closed
E85723,Merged,Merged
E85740,NA,Closed
E86003,NA,Closed
E87050,NA,Closed
E87691,NA,Closed
E87694,NA,Closed
E87711,NA,Closed
E87735,Merged,Merged
F82012,NA,Merged
F82614,Merged,Merged
F82621,NA,Merged
F82639,NA,Closed
F82653,NA,Closed
F82666,NA,Closed
F82668,Merged,Merged
F82676,NA,Merged
F83027,NA,Closed
F83677,NA,Closed
F83682,NA,Closed
F84041,NA,Closed
F84043,NA,Closed
F84046,NA,Closed
F84624,NA,Closed
F84657,NA,Merged
F84673,NA,Closed
F84676,NA,Merged
F84682,NA,Merged
F84685,NA,Merged
F84702,Merged,Merged
F84706,Merged,Merged
F84711,NA,Merged
F84714,NA,Merged
F84734,NA,Closed
F84742,NA,Merged
F85003,NA,Merged
F85024,NA,Closed
F85027,NA,Merged
F85036,NA,Merged
F85043,NA,Merged
F85045,NA,Merged
F85048,NA,Closed
F85052,NA,Closed
F85053,Merged,Merged
F85055,NA,Merged
F85076,NA,Merged
F85645,NA,Closed
F85652,NA,Closed
F85654,NA,Closed
F85656,NA,Merged
F85681,NA,Closed
F85684,NA,Closed
F85686,NA,Closed
F85703,NA,Merged
F85707,NA,Merged
F86073,NA,Closed
F86642,NA,Merged
G83003,NA,Merged
G83005,NA,Closed
G83022,NA,Closed
G83034,NA,Merged
G83037,NA,Merged
G83061,NA,Merged
G83064,NA,Merged
G83663,NA,Closed
G84021,NA,Merged
G84022,NA,Closed
G84628,NA,Closed
G85003,NA,Merged
G85005,NA,Merged
G85008,NA,Closed
G85035,NA,Merged
G85036,NA,Merged
G85048,NA,Closed
G85050,NA,Merged
G85055,NA,Merged
G85082,NA,Merged
G85089,NA,Merged
G85106,NA,Closed
G85118,NA,Closed
G85124,NA,Merged
G85717,Merged,Merged
H83027,NA,Merged
H83040,NA,Merged
H83046,NA,Merged
H83050,NA,Merged
H83625,NA,Merged
H84043,NA,Closed
H84608,NA,Closed
H84629,NA,Closed
H84632,NA,Closed
H85005,NA,Closed
H85019,Merged,Merged
H85035,NA,Closed
H85054,Merged,Merged
H85665,NA,Closed
H85695,NA,Closed
Y00212,NA,Closed
Y00454,NA,Closed
Y00542,NA,Merged
Y02222,NA,Merged
Y02260,Merged,Merged
Y02583,NA,Merged
Y02585,NA,Merged
Y02914,Merged,Merged
Y02962,NA,Merged
Y03103,NA,Merged
Y03296,NA,Closed
Y03434,NA,Merged
Y05566,Merged,Merged
Y06320,NA,Merged
Y06545,NA,Merged
J81003,NA,Merged
J81004,NA,Merged
J81005,NA,Merged
J81031,NA,Merged
J81032,Merged,Merged
J81040,NA,Closed
J81044,NA,Merged
J81048,NA,Merged
J81052,NA,Merged
J81054,NA,Merged
J81055,NA,Closed
J81069,NA,Closed
J81071,NA,Closed
J81628,NA,Merged
J83025,NA,Merged
J83031,NA,Merged
J83063,NA,Merged
J83632,NA,Closed
J83636,NA,Merged
L81028,NA,Closed
L81036,NA,Merged
L81043,Merged,Merged
L81064,NA,Merged
L81094,NA,Merged
L81101,NA,Merged
L81112,NA,Closed
L81119,NA,Closed
L81622,NA,Closed
L81637,NA,Closed
L81648,Merged,Merged
L81655,NA,Closed
L82009,NA,Merged
L82021,Merged,Merged
L82024,NA,Merged
L82037,NA,Merged
L82618,NA,Merged
L83022,NA,Merged
L83053,NA,Merged
L83061,NA,Merged
L83065,NA,Merged
L83078,NA,Closed
L83080,NA,Merged
L83107,NA,Merged
L83117,NA,Closed
L83125,NA,Closed
L83130,NA,Merged
L83627,NA,Merged
L83642,NA,Merged
L83644,NA,Merged
L84001,NA,Merged
L84013,NA,Merged
L84020,NA,Merged
L84032,NA,Closed
L84044,NA,Merged
L84056,NA,Merged
L84057,Merged,Merged
L84071,NA,Merged
L84073,NA,Merged
L84078,NA,Merged
L84615,NA,Merged
L84616,NA,Merged
