"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Non-dispensing",32.36093926,157.31
"Non-dispensing",31.92195764,147.91
"Non-dispensing",28.02402606,147.95
"Non-dispensing",15.39820693,153.73
"Non-dispensing",35.61238709,144.92
"Non-dispensing",34.4445324,153.44
"Non-dispensing",35.86584918,135.65
"Non-dispensing",36.30890201,153.05
"Non-dispensing",52.64702092,138.02
"Non-dispensing",29.72275278,139.41
"Non-dispensing",23.2413016,145.46
"Non-dispensing",44.48916704,139.68
"Non-dispensing",18.95062853,153.35
"Non-dispensing",31.65217693,147.93
"Non-dispensing",51.03596365,137.43
"Non-dispensing",32.5907881,146.97
"Non-dispensing",36.74703152,153.99
"Non-dispensing",28.10465509,154.24
"Non-dispensing",46.72625716,137.06
"Non-dispensing",34.54680434,165.82
"Non-dispensing",43.04190562,142.65
"Non-dispensing",8.498276515,154.57
"Non-dispensing",48.71806737,133.15
"Non-dispensing",29.21367425,142.21
"Non-dispensing",37.37028971,160.7
"Non-dispensing",18.87409624,150.55
"Non-dispensing",21.20401337,149.76
"Non-dispensing",45.50573605,141.24
"Non-dispensing",28.14896883,153.41
"Non-dispensing",47.20188754,133.16
"Non-dispensing",48.84968334,143.69
"Non-dispensing",9.810949199,156.76
"Non-dispensing",24.15772625,151.94
"Non-dispensing",35.67246825,135.22
"Non-dispensing",44.4887079,135.16
"Non-dispensing",34.88567243,144.46
"Non-dispensing",34.88387014,149.56
"Non-dispensing",30.3384962,178.38
"Non-dispensing",31.46987495,138.11
"Non-dispensing",17.10870732,144.36
"Non-dispensing",51.90026988,144.79
"Non-dispensing",28.41891,122.08
"Non-dispensing",29.42239419,153.37
"Non-dispensing",36.88232059,137.01
"Non-dispensing",30.26605486,144.99
"Non-dispensing",24.1716921,139.75
"Non-dispensing",26.19803912,148.69
"Non-dispensing",29.30668438,146.11
"Non-dispensing",33.12854462,132.59
"Non-dispensing",37.62924613,142.63
"Non-dispensing",46.1153732,125.48
"Non-dispensing",49.16234326,156.16
"Dispensing",16.08137197,258.21
"Non-dispensing",40.51026596,154.11
"Non-dispensing",31.31711076,160.11
"Non-dispensing",21.72787633,168.75
"Non-dispensing",38.9923193,142.29
"Non-dispensing",23.33127092,146.18
