"Dispensing.Practice","IMD","Average.payments.per.registered.patient"
"Non-dispensing",32.36093926,178.81
"Non-dispensing",31.92195764,168.67
"Non-dispensing",28.02402606,156.17
"Non-dispensing",15.39820693,178.12
"Non-dispensing",35.61238709,161.22
"Non-dispensing",34.4445324,171.41
"Non-dispensing",35.86584918,147.69
"Non-dispensing",36.30890201,176.12
"Non-dispensing",52.64702092,154.67
"Non-dispensing",29.72275278,164.71
"Non-dispensing",23.2413016,170.12
"Non-dispensing",44.48916704,149.32
"Non-dispensing",18.95062853,141.42
"Non-dispensing",31.65217693,163.27
"Non-dispensing",51.03596365,159.11
"Non-dispensing",32.5907881,170.61
"Non-dispensing",36.74703152,181.44
"Non-dispensing",28.10465509,189.67
"Non-dispensing",46.72625716,147.17
"Non-dispensing",34.54680434,186.91
"Non-dispensing",43.04190562,157.03
"Non-dispensing",8.498276515,144.54
"Non-dispensing",48.71806737,143.82
"Non-dispensing",29.21367425,161.8
"Non-dispensing",37.37028971,181.92
"Non-dispensing",18.87409624,170.77
"Non-dispensing",21.20401337,135.82
"Non-dispensing",45.50573605,163.9
"Non-dispensing",28.14896883,166.91
"Non-dispensing",47.20188754,142.64
"Non-dispensing",48.84968334,158.17
"Non-dispensing",9.810949199,149.63
"Non-dispensing",24.15772625,159.32
"Non-dispensing",35.67246825,160.43
"Non-dispensing",44.4887079,157.85
"Non-dispensing",34.88567243,163.92
"Non-dispensing",34.88387014,169.23
"Non-dispensing",30.3384962,201.61
"Non-dispensing",31.46987495,154.87
"Non-dispensing",17.10870732,175.44
"Non-dispensing",51.90026988,164.85
"Non-dispensing",28.41891,130.72
"Non-dispensing",29.42239419,173.81
"Non-dispensing",36.88232059,167.81
"Non-dispensing",30.26605486,164.33
"Non-dispensing",24.1716921,154.46
"Non-dispensing",26.19803912,156.22
"Non-dispensing",29.30668438,160.47
"Non-dispensing",33.12854462,152.77
"Non-dispensing",37.62924613,171.73
"Non-dispensing",46.1153732,136.41
"Non-dispensing",49.16234326,179.03
"Dispensing",16.08137197,253.03
"Non-dispensing",40.51026596,157.65
"Non-dispensing",31.31711076,159.53
"Non-dispensing",21.72787633,193.79
"Non-dispensing",38.9923193,155.73
"Non-dispensing",23.33127092,149.09
"Non-dispensing",28.8155197,149.36
"Non-dispensing",23.41244905,147.48
"Non-dispensing",20.89523695,177.7
"Non-dispensing",67.40740788,142.26
"Non-dispensing",40.39522356,156.06
"Non-dispensing",38.51984913,152.51
"Non-dispensing",57.89398644,517.5
"Non-dispensing",35.48259456,156.61
"Non-dispensing",62.98951579,399.08
"Non-dispensing",59.15179074,159.38
"Non-dispensing",14.57892826,154.24
"Dispensing",20.10173872,259.97
"Non-dispensing",12.58326118,159.23
"Non-dispensing",15.88497829,209.93
"Non-dispensing",35.34187825,160.31
"Non-dispensing",32.31908057,157.8
"Non-dispensing",33.33581017,175.17
"Non-dispensing",26.73957171,176.23
"Dispensing",14.18831259,303.37
"Dispensing",20.56862815,294.21
"Dispensing",17.63140964,336.02
"Non-dispensing",27.80747266,131.76
"Non-dispensing",22.7083934,239.95
"Non-dispensing",23.52692056,149.62
"Non-dispensing",24.48907915,148.45
"Non-dispensing",24.62371007,165.41
"Dispensing",13.41072608,184.68
"Dispensing",14.93832639,288.62
"Dispensing",23.88475893,294.06
"Dispensing",14.46701636,303.43
"Non-dispensing",14.39839285,165.86
"Dispensing",12.50949903,212.07
"Dispensing",13.55844133,197.52
"Dispensing",12.62575785,218.43
"Dispensing",18.70936406,329.03
"Dispensing",11.60198722,315.39
"Dispensing",15.69705813,362.98
"Non-dispensing",30.21792119,170.29
"Non-dispensing",27.27439253,181.61
"Non-dispensing",14.88709934,155.73
"Non-dispensing",14.96139191,144.3
"Non-dispensing",24.4071086,195.02
"Dispensing",15.89251872,313.9
"Non-dispensing",19.09339794,158.07
"Non-dispensing",27.70845082,165.01
"Non-dispensing",25.9900761,170.15
"Non-dispensing",19.00752654,184.21
"Non-dispensing",12.30606465,153.54
"Dispensing",30.40453598,162.03
"Non-dispensing",11.45818382,200.08
"Non-dispensing",22.23774092,205.25
"Non-dispensing",24.37733966,173.48
"Non-dispensing",37.81485085,199.26
"Non-dispensing",21.94888961,269.34
"Non-dispensing",15.37603811,151.5
"Dispensing",12.44841314,202.27
"Non-dispensing",27.72602744,166.41
"Non-dispensing",33.63027951,176.81
"Non-dispensing",28.86767648,181.19
"Non-dispensing",30.86164155,169.2
"Dispensing",15.45732873,247.11
"Dispensing",13.93758949,278.39
"Dispensing",14.24110852,335.37
"Dispensing",17.77056618,347.51
"Non-dispensing",38.56316913,194.93
"Dispensing",14.81447223,344.32
"Non-dispensing",31.14498168,162.34
"Dispensing",11.54849889,316.17
"Dispensing",15.55939691,343.96
"Dispensing",13.80259664,323.91
"Non-dispensing",24.94389465,156.16
"Dispensing",26.4540396,183.48
"Non-dispensing",34.83759727,181.49
"Non-dispensing",25.95837375,148.06
"Non-dispensing",26.40101756,137.52
"Non-dispensing",40.22311745,209.04
"Non-dispensing",42.44180829,179.86
"Non-dispensing",20.29811546,182.22
"Non-dispensing",22.69267617,146.79
"Non-dispensing",10.9044101,109.79
"Non-dispensing",38.71363362,216.43
"Non-dispensing",34.0324891,131.55
"Dispensing",18.45337332,169.08
"Non-dispensing",32.17349916,194.63
"Non-dispensing",32.20901291,178.45
"Non-dispensing",22.67427875,171.68
"Non-dispensing",29.74618581,180.03
"Dispensing",32.00584413,220.46
"Dispensing",25.42832636,171.23
"Non-dispensing",33.771525,191.39
"Dispensing",26.95895781,197.77
"Non-dispensing",35.88131611,173.87
"Non-dispensing",23.98608946,163.72
"Non-dispensing",19.01399048,169.37
"Non-dispensing",20.15829479,165.58
"Non-dispensing",16.01175415,170.99
"Non-dispensing",21.1177036,172.97
"Non-dispensing",17.36154685,148.36
"Dispensing",25.44689609,296.4
"Non-dispensing",26.01225844,192.04
"Non-dispensing",25.66136158,163.19
"Non-dispensing",19.45499191,222.77
"Non-dispensing",9.709860587,158.33
"Dispensing",24.87895763,200.98
"Non-dispensing",18.48689782,171.68
"Non-dispensing",33.81978039,159.98
"Non-dispensing",31.72023701,193.79
"Dispensing",19.22340435,301.9
"Non-dispensing",43.30221006,186.43
"Non-dispensing",34.00681414,173.17
"Dispensing",15.11418742,237.29
"Non-dispensing",30.0275925,147.59
"Dispensing",11.6867727,210.64
"Non-dispensing",20.39322553,175.82
"Non-dispensing",19.2427999,182.06
"Non-dispensing",28.46756436,216.89
"Non-dispensing",27.06834726,166.78
"Non-dispensing",20.81830858,174.94
"Non-dispensing",12.15742604,158.03
"Non-dispensing",41.93922984,195.55
"Dispensing",22.05548735,333.42
"Dispensing",13.7635523,367.8
"Non-dispensing",32.28503773,167.91
"Non-dispensing",10.92339406,179.14
"Non-dispensing",27.80800851,171.42
"Non-dispensing",13.6341306,209.52
"Non-dispensing",33.50455695,178.81
"Non-dispensing",29.62419112,169.98
"Non-dispensing",29.30454671,187.87
"Non-dispensing",34.2427697,186.6
"Non-dispensing",39.57074182,189.22
"Dispensing",22.26005109,186.69
"Dispensing",24.4442419,256.55
"Non-dispensing",41.5638028,183.86
"Dispensing",25.95400061,404.55
"Dispensing",32.24967499,367.05
"Non-dispensing",35.44039273,175.49
"Non-dispensing",37.31337609,186.56
"Non-dispensing",20.12189781,141.78
