"Practice.Code","Year","location_name","service_population_group","domain","latest_rating","inherited_rating_y_n","IMD","IMD_quintile","ICB_NAME"
"A81001",2016,"The Densham Surgery","Overall","Overall","Good","N",29.94546757,4,"North East and North Cumbria"
"A81002",2016,"Queens Park Medical Centre","Overall","Overall","Good","N",30.247768865,4,"North East and North Cumbria"
"A81004",2018,"Acklam Medical Centre","Overall","Overall","Good","N",29.6209766325,4,"North East and North Cumbria"
"A81005",2016,"Springwood Surgery","Overall","Overall","Good","N",15.657410905,2,"North East and North Cumbria"
"A81006",2016,"Tennant Street Medical Practice","Overall","Overall","Good","N",32.746732895,5,"North East and North Cumbria"
"A81007",2016,"Bankhouse Surgery","Overall","Overall","Good","N",32.6621614275,5,"North East and North Cumbria"
"A81009",2016,"Village Medical Centre","Overall","Overall","Good","N",35.414370435,5,"North East and North Cumbria"
"A81011",2017,"Chadwick Practice","Overall","Overall","Good","N",35.467981765,5,"North East and North Cumbria"
"A81012",2016,"Westbourne Medical Centre","Overall","Overall","Good","N",50.758459825,5,"North East and North Cumbria"
"A81013",2019,"Brotton Surgery","Overall","Overall","Good","N",29.72275278,4,"North East and North Cumbria"
"A81014",2023,"Queenstree Practice","Overall","Overall","Good","N",23.2413016,3,"North East and North Cumbria"
"A81016",2021,"Park Surgery","Overall","Overall","Good","N",44.48916704,5,"North East and North Cumbria"
"A81017",2019,"Woodbridge Practice","Overall","Overall","Good","N",18.95062853,3,"North East and North Cumbria"
"A81018",2017,"Bentley Medical Practice","Overall","Overall","Good","N",30.59759683,4,"North East and North Cumbria"
"A81019",2018,"Crossfell Health Centre","Overall","Overall","Good","N",50.6506670075,5,"North East and North Cumbria"
"A81020",2016,"Martonside Medical Centre","Overall","Overall","Good","N",31.7900383375,5,"North East and North Cumbria"
"A81021",2016,"Normanby Medical Centre","Overall","Overall","Good","N",35.25161099,5,"North East and North Cumbria"
"A81022",2016,"Hillside Practice","Overall","Overall","Good","N",27.8088412,4,"North East and North Cumbria"
"A81023",2016,"The Endeavour Practice","Overall","Overall","Good","N",46.65473623,5,"North East and North Cumbria"
"A81025",2016,"The Dovecot Surgery","Overall","Overall","Good","N",32.9901284375,5,"North East and North Cumbria"
"A81026",2023,"Linthorpe Surgery","Overall","Overall","Good","N",43.04190562,5,"North East and North Cumbria"
"A81027",2015,"Yarm Medical Practice","Overall","Overall","Outstanding","N",8.238294135,1,"North East and North Cumbria"
"A81029",2022,"Prospect Surgery","Overall","Overall","Good","N",48.71806737,5,"North East and North Cumbria"
"A81030",2016,"Borough Road and Nunthorpe Medical Group","Overall","Overall","Good","N",28.4053957775,4,"North East and North Cumbria"
"A81031",2016,"Havelock Grange Practice","Overall","Overall","Good","N",35.7021575525,5,"North East and North Cumbria"
"A81032",2019,"The Garth Surgery","Overall","Overall","Good","N",18.87409624,3,"North East and North Cumbria"
"A81034",2022,"Thornaby and Barwick Medical Group","Overall","Overall","Good","N",21.20401337,3,"North East and North Cumbria"
"A81035",2016,"Newlands Medical Practice","Overall","Overall","Good","N",44.407458985,5,"North East and North Cumbria"
"A81036",2023,"Norton Medical Centre","Overall","Overall","Good","N",28.14896883,4,"North East and North Cumbria"
"A81037",2021,"Erimus Practice","Overall","Overall","Good","N",47.20188754,5,"North East and North Cumbria"
"A81038",2024,"Dr Geetha Ramachandran & Dr Prasanna Balakrishnan","Overall","Overall","Good","N",48.84968334,5,"North East and North Cumbria"
"A81039",2015,"The Eaglescliffe Medical Practice","Overall","Overall","Outstanding","N",9.342918848,1,"North East and North Cumbria"
"A81040",2016,"Marsh House Medical Centre","Overall","Overall","Good","N",23.7714660575,4,"North East and North Cumbria"
"A81041",2018,"Hart Medical Practice","Overall","Overall","Good","N",35.299029315,5,"North East and North Cumbria"
"A81042",2016,"South Grange Medical Group Practice","Overall","Overall","Good","N",45.34546482,5,"North East and North Cumbria"
"A81044",2018,"McKenzie House","Overall","Overall","Good","N",33.8180016175,5,"North East and North Cumbria"
"A81045",2023,"Coatham Surgery","Overall","Overall","Good","N",30.3384962,4,"North East and North Cumbria"
"A81046",2018,"Woodlands Family Medical Centre","Overall","Overall","Good","N",30.8679238925,4,"North East and North Cumbria"
"A81048",2017,"Zetland Medical Practice","Overall","Overall","Good","N",16.38708571,2,"North East and North Cumbria"
"A81049",2018,"Kings Medical Centre","Overall","Overall","Good","N",51.29708201,5,"North East and North Cumbria"
"A81051",2021,"Cambridge Medical Group","Overall","Overall","Good","N",28.41891,4,"North East and North Cumbria"
"A81052",2019,"The Green House Surgery","Overall","Overall","Good","N",29.42239419,4,"North East and North Cumbria"
"A81053",2022,"Woodside Surgery","Overall","Overall","Good","N",36.88232059,5,"North East and North Cumbria"
"A81054",2019,"The Saltscar Surgery","Overall","Overall","Good","N",30.26605486,4,"North East and North Cumbria"
"A81056",2018,"Melrose Medical Centre Ltd","Overall","Overall","Good","N",24.132813175,3,"North East and North Cumbria"
"A81057",2016,"Kingsway Medical Centre","Overall","Overall","Good","N",25.531277615,4,"North East and North Cumbria"
"A81058",2017,"Coulby Medical Practice","Overall","Overall","Good","N",28.457691295,4,"North East and North Cumbria"
"A81060",2018,"The Koh Practice","Overall","Overall","Good","N",32.771326875,4,"North East and North Cumbria"
"A81063",2018,"The Headland Medical Centre","Overall","Overall","Good","N",37.2589637475,5,"North East and North Cumbria"
"A81064",2016,"The Discovery Practice","Overall","Overall","Good","N",44.34942455,5,"North East and North Cumbria"
"A81065",2024,"The Eston Surgery","Overall","Overall","Good","N",49.16234326,5,"North East and North Cumbria"
"A81066",2017,"Dr Corbett, Dr Garget & Dr Mendis","Overall","Overall","Good","N",15.271891075,2,"North East and North Cumbria"
"A81067",2016,"Alma Medical Centre","Overall","Overall","Good","N",39.95640077,5,"North East and North Cumbria"
"A81070",2018,"Wynyard Medical Centre","Overall","Overall","Good","N",34.2016810675,5,"North East and North Cumbria"
"A81602",2016,"Dr Shafquth Rasool","Overall","Overall","Good","N",21.720227635,3,"North East and North Cumbria"
"A81608",2024,"Elm Tree Medical Centre","Overall","Overall","Good","N",38.9923193,5,"North East and North Cumbria"
"A81610",2016,"The Roseberry Practice","Overall","Overall","Good","N",22.9483611275,4,"North East and North Cumbria"
"A81611",2016,"Parkway Medical Centre","Overall","Overall","Good","N",26.5371085825,4,"North East and North Cumbria"
