GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Type,Value
Combined,GMS,England,All,All,All,All,All,All,,,,,Average Tot Expenses,171800
Combined,GMS,England,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,268600
Combined,GMS,England,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,96800
Combined,GMS,England,All,All,All,All,All,All,,,,,Estimated Population,20850
Combined,GMS,England,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,275
Combined,GMS,England,All,All,All,All,All,All,,,,,Median Income Before Tax,91400
Combined,GMS,England,All,All,All,All,All,All,,,,,Sample Count,11750
Combined,GMS,Northern Ireland,All,All,All,All,All,All,,,,,Average Tot Expenses,100500
Combined,GMS,Northern Ireland,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,189400
Combined,GMS,Northern Ireland,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,88800
Combined,GMS,Northern Ireland,All,All,All,All,All,All,,,,,Estimated Population,1300
Combined,GMS,Northern Ireland,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,648
Combined,GMS,Northern Ireland,All,All,All,All,All,All,,,,,Median Income Before Tax,86400
Combined,GMS,Northern Ireland,All,All,All,All,All,All,,,,,Sample Count,950
Combined,GMS,Scotland,All,All,All,All,All,All,,,,,Average Tot Expenses,101000
Combined,GMS,Scotland,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,189500
Combined,GMS,Scotland,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,88600
Combined,GMS,Scotland,All,All,All,All,All,All,,,,,Estimated Population,3350
Combined,GMS,Scotland,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,441
Combined,GMS,Scotland,All,All,All,All,All,All,,,,,Median Income Before Tax,86100
Combined,GMS,Scotland,All,All,All,All,All,All,,,,,Sample Count,2100
Combined,GMS,UK,All,All,Age 40 to 49,All,All,All,,,,,Average Tot Expenses,169300
Combined,GMS,UK,All,All,Age 40 to 49,All,All,All,,,,,Average Tot Gross Earnings,266300
Combined,GMS,UK,All,All,Age 40 to 49,All,All,All,,,,,Average Tot Income Before Tax,97000
Combined,GMS,UK,All,All,Age 40 to 49,All,All,All,,,,,Estimated Population,9100
Combined,GMS,UK,All,All,Age 40 to 49,All,All,All,,,,,Income Before Tax Standard Error,377
Combined,GMS,UK,All,All,Age 40 to 49,All,All,All,,,,,Median Income Before Tax,93000
Combined,GMS,UK,All,All,Age 40 to 49,All,All,All,,,,,Sample Count,5350
Combined,GMS,UK,All,All,Age 50 to 59,All,All,All,,,,,Average Tot Expenses,194600
Combined,GMS,UK,All,All,Age 50 to 59,All,All,All,,,,,Average Tot Gross Earnings,301600
Combined,GMS,UK,All,All,Age 50 to 59,All,All,All,,,,,Average Tot Income Before Tax,107000
Combined,GMS,UK,All,All,Age 50 to 59,All,All,All,,,,,Estimated Population,8200
Combined,GMS,UK,All,All,Age 50 to 59,All,All,All,,,,,Income Before Tax Standard Error,452
Combined,GMS,UK,All,All,Age 50 to 59,All,All,All,,,,,Median Income Before Tax,101600
Combined,GMS,UK,All,All,Age 50 to 59,All,All,All,,,,,Sample Count,4800
Combined,GMS,UK,All,All,Age over 60,All,All,All,,,,,Average Tot Expenses,177400
Combined,GMS,UK,All,All,Age over 60,All,All,All,,,,,Average Tot Gross Earnings,276200
Combined,GMS,UK,All,All,Age over 60,All,All,All,,,,,Average Tot Income Before Tax,98900
Combined,GMS,UK,All,All,Age over 60,All,All,All,,,,,Estimated Population,2250
Combined,GMS,UK,All,All,Age over 60,All,All,All,,,,,Income Before Tax Standard Error,1018
Combined,GMS,UK,All,All,Age over 60,All,All,All,,,,,Median Income Before Tax,90300
Combined,GMS,UK,All,All,Age over 60,All,All,All,,,,,Sample Count,1300
Combined,GMS,UK,All,All,Age under 40,All,All,All,,,,,Average Tot Expenses,99900
Combined,GMS,UK,All,All,Age under 40,All,All,All,,,,,Average Tot Gross Earnings,179000
Combined,GMS,UK,All,All,Age under 40,All,All,All,,,,,Average Tot Income Before Tax,79100
Combined,GMS,UK,All,All,Age under 40,All,All,All,,,,,Estimated Population,7750
Combined,GMS,UK,All,All,Age under 40,All,All,All,,,,,Income Before Tax Standard Error,367
Combined,GMS,UK,All,All,Age under 40,All,All,All,,,,,Median Income Before Tax,71900
Combined,GMS,UK,All,All,Age under 40,All,All,All,,,,,Sample Count,4350
Combined,GMS,UK,All,All,All,All,All,"10,000 to fewer than 15,000",,,,,Average Tot Expenses,154400
Combined,GMS,UK,All,All,All,All,All,"10,000 to fewer than 15,000",,,,,Average Tot Gross Earnings,249900
Combined,GMS,UK,All,All,All,All,All,"10,000 to fewer than 15,000",,,,,Average Tot Income Before Tax,95500
Combined,GMS,UK,All,All,All,All,All,"10,000 to fewer than 15,000",,,,,Estimated Population,8100
Combined,GMS,UK,All,All,All,All,All,"10,000 to fewer than 15,000",,,,,Income Before Tax Standard Error,390
Combined,GMS,UK,All,All,All,All,All,"10,000 to fewer than 15,000",,,,,Median Income Before Tax,90800
Combined,GMS,UK,All,All,All,All,All,"10,000 to fewer than 15,000",,,,,Sample Count,4650
Combined,GMS,UK,All,All,All,All,All,"15,000 to fewer than 20,000",,,,,Average Tot Expenses,178000
Combined,GMS,UK,All,All,All,All,All,"15,000 to fewer than 20,000",,,,,Average Tot Gross Earnings,279100
Combined,GMS,UK,All,All,All,All,All,"15,000 to fewer than 20,000",,,,,Average Tot Income Before Tax,101100
Combined,GMS,UK,All,All,All,All,All,"15,000 to fewer than 20,000",,,,,Estimated Population,2450
Combined,GMS,UK,All,All,All,All,All,"15,000 to fewer than 20,000",,,,,Income Before Tax Standard Error,389
Combined,GMS,UK,All,All,All,All,All,"15,000 to fewer than 20,000",,,,,Median Income Before Tax,96100
Combined,GMS,UK,All,All,All,All,All,"15,000 to fewer than 20,000",,,,,Sample Count,1400
Combined,GMS,UK,All,All,All,All,All,"20,000 and over",,,,,Average Tot Expenses,192000
Combined,GMS,UK,All,All,All,All,All,"20,000 and over",,,,,Average Tot Gross Earnings,286400
Combined,GMS,UK,All,All,All,All,All,"20,000 and over",,,,,Average Tot Income Before Tax,94400
Combined,GMS,UK,All,All,All,All,All,"20,000 and over",,,,,Estimated Population,950
Combined,GMS,UK,All,All,All,All,All,"20,000 and over",,,,,Income Before Tax Standard Error,1053
Combined,GMS,UK,All,All,All,All,All,"20,000 and over",,,,,Median Income Before Tax,92200
Combined,GMS,UK,All,All,All,All,All,"20,000 and over",,,,,Sample Count,550
Combined,GMS,UK,All,All,All,All,All,"5,000 to fewer than 10,000",,,,,Average Tot Expenses,154700
Combined,GMS,UK,All,All,All,All,All,"5,000 to fewer than 10,000",,,,,Average Tot Gross Earnings,249600
Combined,GMS,UK,All,All,All,All,All,"5,000 to fewer than 10,000",,,,,Average Tot Income Before Tax,94800
Combined,GMS,UK,All,All,All,All,All,"5,000 to fewer than 10,000",,,,,Estimated Population,11550
Combined,GMS,UK,All,All,All,All,All,"5,000 to fewer than 10,000",,,,,Income Before Tax Standard Error,497
Combined,GMS,UK,All,All,All,All,All,"5,000 to fewer than 10,000",,,,,Median Income Before Tax,89900
Combined,GMS,UK,All,All,All,All,All,"5,000 to fewer than 10,000",,,,,Sample Count,6750
Combined,GMS,UK,All,All,All,All,All,All,,,,,Average Tot Expenses,157900
Combined,GMS,UK,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,252900
Combined,GMS,UK,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,95100
Combined,GMS,UK,All,All,All,All,All,All,,,,,Estimated Population,27250
Combined,GMS,UK,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,221
Combined,GMS,UK,All,All,All,All,All,All,,,,,Median Income Before Tax,90100
Combined,GMS,UK,All,All,All,All,All,All,,,,,Sample Count,15850
Combined,GMS,UK,All,All,All,All,All,"Fewer than 5,000",,,,,Average Tot Expenses,154000
Combined,GMS,UK,All,All,All,All,All,"Fewer than 5,000",,,,,Average Tot Gross Earnings,245500
Combined,GMS,UK,All,All,All,All,All,"Fewer than 5,000",,,,,Average Tot Income Before Tax,91500
Combined,GMS,UK,All,All,All,All,All,"Fewer than 5,000",,,,,Estimated Population,4250
Combined,GMS,UK,All,All,All,All,All,"Fewer than 5,000",,,,,Income Before Tax Standard Error,1350
Combined,GMS,UK,All,All,All,All,All,"Fewer than 5,000",,,,,Median Income Before Tax,85900
Combined,GMS,UK,All,All,All,All,All,"Fewer than 5,000",,,,,Sample Count,2550
Combined,GMS,UK,All,All,All,All,Central Midlands,All,,,,,Average Tot Expenses,208700
Combined,GMS,UK,All,All,All,All,Central Midlands,All,,,,,Average Tot Gross Earnings,320800
Combined,GMS,UK,All,All,All,All,Central Midlands,All,,,,,Average Tot Income Before Tax,112100
Combined,GMS,UK,All,All,All,All,Central Midlands,All,,,,,Estimated Population,1150
Combined,GMS,UK,All,All,All,All,Central Midlands,All,,,,,Income Before Tax Standard Error,1588
Combined,GMS,UK,All,All,All,All,Central Midlands,All,,,,,Median Income Before Tax,106200
Combined,GMS,UK,All,All,All,All,Central Midlands,All,,,,,Sample Count,650
Combined,GMS,UK,All,All,All,All,Cheshire & Merseyside,All,,,,,Average Tot Expenses,162600
Combined,GMS,UK,All,All,All,All,Cheshire & Merseyside,All,,,,,Average Tot Gross Earnings,266800
Combined,GMS,UK,All,All,All,All,Cheshire & Merseyside,All,,,,,Average Tot Income Before Tax,104300
Combined,GMS,UK,All,All,All,All,Cheshire & Merseyside,All,,,,,Estimated Population,1100
Combined,GMS,UK,All,All,All,All,Cheshire & Merseyside,All,,,,,Income Before Tax Standard Error,1375
Combined,GMS,UK,All,All,All,All,Cheshire & Merseyside,All,,,,,Median Income Before Tax,100000
Combined,GMS,UK,All,All,All,All,Cheshire & Merseyside,All,,,,,Sample Count,600
Combined,GMS,UK,All,All,All,All,Cumbria & North East,All,,,,,Average Tot Expenses,155100
Combined,GMS,UK,All,All,All,All,Cumbria & North East,All,,,,,Average Tot Gross Earnings,248100
Combined,GMS,UK,All,All,All,All,Cumbria & North East,All,,,,,Average Tot Income Before Tax,93000
Combined,GMS,UK,All,All,All,All,Cumbria & North East,All,,,,,Estimated Population,1400
Combined,GMS,UK,All,All,All,All,Cumbria & North East,All,,,,,Income Before Tax Standard Error,1073
Combined,GMS,UK,All,All,All,All,Cumbria & North East,All,,,,,Median Income Before Tax,89300
Combined,GMS,UK,All,All,All,All,Cumbria & North East,All,,,,,Sample Count,800
Combined,GMS,UK,All,All,All,All,East,All,,,,,Average Tot Expenses,194300
Combined,GMS,UK,All,All,All,All,East,All,,,,,Average Tot Gross Earnings,294900
Combined,GMS,UK,All,All,All,All,East,All,,,,,Average Tot Income Before Tax,100700
Combined,GMS,UK,All,All,All,All,East,All,,,,,Estimated Population,2750
Combined,GMS,UK,All,All,All,All,East,All,,,,,Income Before Tax Standard Error,839
Combined,GMS,UK,All,All,All,All,East,All,,,,,Median Income Before Tax,96000
Combined,GMS,UK,All,All,All,All,East,All,,,,,Sample Count,1550
Combined,GMS,UK,All,All,All,All,East of England,All,,,,,Average Tot Expenses,194300
Combined,GMS,UK,All,All,All,All,East of England,All,,,,,Average Tot Gross Earnings,294900
Combined,GMS,UK,All,All,All,All,East of England,All,,,,,Average Tot Income Before Tax,100700
Combined,GMS,UK,All,All,All,All,East of England,All,,,,,Estimated Population,2750
Combined,GMS,UK,All,All,All,All,East of England,All,,,,,Income Before Tax Standard Error,840
Combined,GMS,UK,All,All,All,All,East of England,All,,,,,Median Income Before Tax,96000
Combined,GMS,UK,All,All,All,All,East of England,All,,,,,Sample Count,1550
Combined,GMS,UK,All,All,All,All,Greater Manchester,All,,,,,Average Tot Expenses,144200
Combined,GMS,UK,All,All,All,All,Greater Manchester,All,,,,,Average Tot Gross Earnings,240000
Combined,GMS,UK,All,All,All,All,Greater Manchester,All,,,,,Average Tot Income Before Tax,95800
Combined,GMS,UK,All,All,All,All,Greater Manchester,All,,,,,Estimated Population,1150
Combined,GMS,UK,All,All,All,All,Greater Manchester,All,,,,,Income Before Tax Standard Error,1175
Combined,GMS,UK,All,All,All,All,Greater Manchester,All,,,,,Median Income Before Tax,93300
Combined,GMS,UK,All,All,All,All,Greater Manchester,All,,,,,Sample Count,650
Combined,GMS,UK,All,All,All,All,"Hampshire, Isle of Wight & Thames Valley",All,,,,,Average Tot Expenses,160200
Combined,GMS,UK,All,All,All,All,"Hampshire, Isle of Wight & Thames Valley",All,,,,,Average Tot Gross Earnings,250500
Combined,GMS,UK,All,All,All,All,"Hampshire, Isle of Wight & Thames Valley",All,,,,,Average Tot Income Before Tax,90400
Combined,GMS,UK,All,All,All,All,"Hampshire, Isle of Wight & Thames Valley",All,,,,,Estimated Population,1800
Combined,GMS,UK,All,All,All,All,"Hampshire, Isle of Wight & Thames Valley",All,,,,,Income Before Tax Standard Error,1033
Combined,GMS,UK,All,All,All,All,"Hampshire, Isle of Wight & Thames Valley",All,,,,,Median Income Before Tax,84900
Combined,GMS,UK,All,All,All,All,"Hampshire, Isle of Wight & Thames Valley",All,,,,,Sample Count,1000
Combined,GMS,UK,All,All,All,All,"Kent, Surrey & Sussex",All,,,,,Average Tot Expenses,173100
Combined,GMS,UK,All,All,All,All,"Kent, Surrey & Sussex",All,,,,,Average Tot Gross Earnings,271300
Combined,GMS,UK,All,All,All,All,"Kent, Surrey & Sussex",All,,,,,Average Tot Income Before Tax,98300
Combined,GMS,UK,All,All,All,All,"Kent, Surrey & Sussex",All,,,,,Estimated Population,2450
Combined,GMS,UK,All,All,All,All,"Kent, Surrey & Sussex",All,,,,,Income Before Tax Standard Error,894
Combined,GMS,UK,All,All,All,All,"Kent, Surrey & Sussex",All,,,,,Median Income Before Tax,92300
Combined,GMS,UK,All,All,All,All,"Kent, Surrey & Sussex",All,,,,,Sample Count,1400
Combined,GMS,UK,All,All,All,All,Lancashire and South Cumbria,All,,,,,Average Tot Expenses,183800
Combined,GMS,UK,All,All,All,All,Lancashire and South Cumbria,All,,,,,Average Tot Gross Earnings,285400
Combined,GMS,UK,All,All,All,All,Lancashire and South Cumbria,All,,,,,Average Tot Income Before Tax,101600
Combined,GMS,UK,All,All,All,All,Lancashire and South Cumbria,All,,,,,Estimated Population,600
Combined,GMS,UK,All,All,All,All,Lancashire and South Cumbria,All,,,,,Income Before Tax Standard Error,1666
Combined,GMS,UK,All,All,All,All,Lancashire and South Cumbria,All,,,,,Median Income Before Tax,99500
Combined,GMS,UK,All,All,All,All,Lancashire and South Cumbria,All,,,,,Sample Count,350
Combined,GMS,UK,All,All,All,All,London,All,,,,,Average Tot Expenses,161000
Combined,GMS,UK,All,All,All,All,London,All,,,,,Average Tot Gross Earnings,257100
Combined,GMS,UK,All,All,All,All,London,All,,,,,Average Tot Income Before Tax,96000
Combined,GMS,UK,All,All,All,All,London,All,,,,,Estimated Population,2200
Combined,GMS,UK,All,All,All,All,London,All,,,,,Income Before Tax Standard Error,953
Combined,GMS,UK,All,All,All,All,London,All,,,,,Income Before Tax Standard Error,954
Combined,GMS,UK,All,All,All,All,London,All,,,,,Median Income Before Tax,87100
Combined,GMS,UK,All,All,All,All,London,All,,,,,Sample Count,1250
Combined,GMS,UK,All,All,All,All,Midlands,All,,,,,Average Tot Expenses,178800
Combined,GMS,UK,All,All,All,All,Midlands,All,,,,,Average Tot Gross Earnings,279400
