GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Type,Value
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Expenses,103300
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Gross Earnings,183600
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Income Before Tax,80300
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Estimated Population,6050
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Income Before Tax Standard Error,472
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Median Income Before Tax,71400
Combined,GMS,England,All,All,<40,All,All,All,All,,,,,Sample Count,3100
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Average Tot Expenses,195600
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Average Tot Gross Earnings,297800
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Average Tot Income Before Tax,102300
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Estimated Population,7350
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Income Before Tax Standard Error,510
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Median Income Before Tax,97400
Combined,GMS,England,All,All,>=40<50,All,All,All,All,,,,,Sample Count,4100
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Average Tot Expenses,228100
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Average Tot Gross Earnings,339100
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Average Tot Income Before Tax,111100
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Estimated Population,6250
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Income Before Tax Standard Error,597
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Median Income Before Tax,105400
Combined,GMS,England,All,All,>=50<60,All,All,All,All,,,,,Sample Count,3500
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Average Tot Expenses,203100
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Average Tot Gross Earnings,307200
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Average Tot Income Before Tax,104100
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Estimated Population,1900
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Income Before Tax Standard Error,1383
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Median Income Before Tax,93000
Combined,GMS,England,All,All,>=60,All,All,All,All,,,,,Sample Count,1050
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Expenses,173400
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Gross Earnings,272000
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Income Before Tax,98600
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Estimated Population,7050
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Income Before Tax Standard Error,541
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Median Income Before Tax,92300
Combined,GMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Sample Count,3850
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Expenses,190200
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Gross Earnings,293900
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Income Before Tax,103600
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Estimated Population,2550
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Income Before Tax Standard Error,990
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Median Income Before Tax,97900
Combined,GMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Sample Count,1400
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Expenses,199400
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Gross Earnings,294800
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Income Before Tax,95300
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Estimated Population,1450
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Income Before Tax Standard Error,1373
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Median Income Before Tax,84600
Combined,GMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Sample Count,800
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Expenses,178300
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Gross Earnings,277500
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Income Before Tax,99300
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Estimated Population,7900
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Income Before Tax Standard Error,518
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Median Income Before Tax,93100
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Sample Count,4300
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Average Tot Expenses,179700
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,278500
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,98800
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Estimated Population,21550
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,297
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Median Income Before Tax,92300
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Sample Count,11750
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Expenses,180000
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Gross Earnings,275200
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Income Before Tax,95200
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Estimated Population,2600
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Income Before Tax Standard Error,967
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Median Income Before Tax,89300
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Sample Count,1400
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Expenses,203800
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Gross Earnings,308200
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Income Before Tax,104400
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Estimated Population,2750
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Income Before Tax Standard Error,923
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Median Income Before Tax,98400
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Sample Count,1500
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Average Tot Expenses,166300
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Average Tot Gross Earnings,265100
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Average Tot Income Before Tax,98800
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Estimated Population,2450
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Income Before Tax Standard Error,1040
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Median Income Before Tax,87500
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Sample Count,1350
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Expenses,186900
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Gross Earnings,289700
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Income Before Tax,102800
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Estimated Population,5200
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Income Before Tax Standard Error,677
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Median Income Before Tax,95900
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Sample Count,2850
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Expenses,177600
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Gross Earnings,272000
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Income Before Tax,94400
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Estimated Population,2750
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Income Before Tax Standard Error,791
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Median Income Before Tax,90000
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Sample Count,1500
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Expenses,169300
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Gross Earnings,270900
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Income Before Tax,101600
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Estimated Population,2600
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Income Before Tax Standard Error,936
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Median Income Before Tax,96300
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Sample Count,1400
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Expenses,174600
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Gross Earnings,270600
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Income Before Tax,96100
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Estimated Population,4350
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Income Before Tax Standard Error,726
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Median Income Before Tax,88900
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Sample Count,2350
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Expenses,169400
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Gross Earnings,255100
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Income Before Tax,85700
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Estimated Population,1500
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Income Before Tax Standard Error,933
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Median Income Before Tax,80600
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Sample Count,800
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Expenses,219700
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Gross Earnings,321400
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Income Before Tax,101600
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Estimated Population,4250
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Income Before Tax Standard Error,735
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Median Income Before Tax,97200
