GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Measure,Value
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Sample Count,6400
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Estimated Population,13450
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average SE Gross Earnings,20100
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average SE Expenses,9500
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average SE Income Before Tax,10500
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Emp Gross Earnings,59600
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Emp Income Before Tax,58700
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,79700
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Tot Expenses,10500
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,69200
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,290
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,Median Income Before Tax,64200
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE Median,66600
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE Q1,49700
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE Q3,88900
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE D1,34800
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,GE D9,121600
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,TE Median,1700
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT Q1,48000
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT Q3,84400
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT D1,33300
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,,IBT D9,109200
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",Count_of_GPs,710
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",Percentage_of_GPs_%,5.3
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"0 - 25,000",Cumulative_Percentage_of_GPs_%,5.3
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",Count_of_GPs,3020
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",Percentage_of_GPs_%,22.5
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"25,000 - 50,000",Cumulative_Percentage_of_GPs_%,27.8
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",Count_of_GPs,4930
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",Percentage_of_GPs_%,36.7
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"50,000 - 75,000",Cumulative_Percentage_of_GPs_%,64.5
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",Count_of_GPs,2870
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",Percentage_of_GPs_%,21.4
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"75,000 - 100,000",Cumulative_Percentage_of_GPs_%,85.9
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"100,000+",Count_of_GPs,1900
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"100,000+",Percentage_of_GPs_%,14.1
Salaried,GPMS,England,All,All,All,All,All,All,All,,,,"100,000+",Cumulative_Percentage_of_GPs_%,100
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Sample Count,450
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Estimated Population,900
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average SE Gross Earnings,19300
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average SE Expenses,7400
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average SE Income Before Tax,12000
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Emp Gross Earnings,59900
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Emp Income Before Tax,58900
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Gross Earnings,79300
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Expenses,8400
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Income Before Tax,70800
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Income Before Tax Standard Error,1378
Salaried,GPMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Median Income Before Tax,63200
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Sample Count,1950
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Estimated Population,4000
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average SE Gross Earnings,19600
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average SE Expenses,8600
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average SE Income Before Tax,11000
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Emp Gross Earnings,58700
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Emp Income Before Tax,57800
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Gross Earnings,78400
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Expenses,9500
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Income Before Tax,68900
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Income Before Tax Standard Error,515
Salaried,GPMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Median Income Before Tax,64400
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Sample Count,1950
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Estimated Population,4100
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average SE Gross Earnings,22900
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average SE Expenses,11500
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average SE Income Before Tax,11400
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Emp Gross Earnings,58200
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Emp Income Before Tax,57200
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Gross Earnings,81000
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Expenses,12400
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Income Before Tax,68600
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Income Before Tax Standard Error,543
Salaried,GPMS,England,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Median Income Before Tax,63300
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Sample Count,1000
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Estimated Population,2200
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average SE Gross Earnings,17700
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average SE Expenses,8200
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average SE Income Before Tax,9500
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Emp Gross Earnings,60300
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Emp Income Before Tax,59400
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Gross Earnings,78000
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Expenses,9100
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Average Tot Income Before Tax,68900
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Income Before Tax Standard Error,709
Salaried,GPMS,England,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,Median Income Before Tax,64700
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Sample Count,1050
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Estimated Population,2250
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average SE Gross Earnings,18400
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average SE Expenses,9800
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average SE Income Before Tax,8600
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Emp Gross Earnings,63100
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Emp Income Before Tax,62100
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Gross Earnings,81500
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Expenses,10800
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Average Tot Income Before Tax,70600
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Income Before Tax Standard Error,747
Salaried,GPMS,England,All,All,All,All,All,"20,000 and over",All,,,,,Median Income Before Tax,65500
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Sample Count,600
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Estimated Population,1300
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average SE Gross Earnings,22100
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average SE Expenses,10800
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average SE Income Before Tax,11300
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average Emp Gross Earnings,61200
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average Emp Income Before Tax,60200
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Gross Earnings,83300
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Expenses,11800
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Income Before Tax,71500
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Income Before Tax Standard Error,972
Salaried,GPMS,England,All,All,All,All,East of England,All,All,,,,,Median Income Before Tax,66300
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Sample Count,1350
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Estimated Population,2900
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average SE Gross Earnings,22000
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average SE Expenses,9100
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average SE Income Before Tax,12900
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average Emp Gross Earnings,60900
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average Emp Income Before Tax,59900
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average Tot Gross Earnings,83000
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average Tot Expenses,10100
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Average Tot Income Before Tax,72900
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Income Before Tax Standard Error,705
Salaried,GPMS,England,All,All,All,All,London,All,All,,,,,Median Income Before Tax,68500
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Sample Count,1100
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Estimated Population,2350
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average SE Gross Earnings,19800
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average SE Expenses,9700
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average SE Income Before Tax,10100
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average Emp Gross Earnings,59100
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average Emp Income Before Tax,58100
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Gross Earnings,78900
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Expenses,10700
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Income Before Tax,68200
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Income Before Tax Standard Error,738
Salaried,GPMS,England,All,All,All,All,Midlands,All,All,,,,,Median Income Before Tax,62600
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Sample Count,800
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Estimated Population,1700
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average SE Gross Earnings,21100
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average SE Expenses,11700
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average SE Income Before Tax,9400
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Emp Gross Earnings,60300
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Emp Income Before Tax,59400
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Gross Earnings,81400
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Expenses,12600
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Income Before Tax,68800
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Income Before Tax Standard Error,765
Salaried,GPMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Median Income Before Tax,64400
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Sample Count,700
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Estimated Population,1550
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average SE Gross Earnings,17800
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average SE Expenses,8000
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average SE Income Before Tax,9900
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average Emp Gross Earnings,59200
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average Emp Income Before Tax,58200
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Gross Earnings,77000
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Expenses,8900
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Income Before Tax,68100
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Income Before Tax Standard Error,827
Salaried,GPMS,England,All,All,All,All,North West,All,All,,,,,Median Income Before Tax,63000
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Sample Count,1000
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Estimated Population,2050
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average SE Gross Earnings,18300
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average SE Expenses,8400
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average SE Income Before Tax,9900
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average Emp Gross Earnings,59500
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average Emp Income Before Tax,58500
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Gross Earnings,77900
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Expenses,9400
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Income Before Tax,68400
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Income Before Tax Standard Error,748
Salaried,GPMS,England,All,All,All,All,South East of England,All,All,,,,,Median Income Before Tax,63100
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Sample Count,800
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Estimated Population,1650
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average SE Gross Earnings,18400
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average SE Expenses,9500
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average SE Income Before Tax,8900
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average Emp Gross Earnings,56700
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average Emp Income Before Tax,55900
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Gross Earnings,75200
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Expenses,10400
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Income Before Tax,64800
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Income Before Tax Standard Error,777
Salaried,GPMS,England,All,All,All,All,South West of England,All,All,,,,,Median Income Before Tax,60800
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Sample Count,1000
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Estimated Population,2100
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average SE Gross Earnings,20900
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average SE Expenses,11000
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average SE Income Before Tax,9900
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average Emp Gross Earnings,59500
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average Emp Expenses,1000
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average Emp Income Before Tax,58400
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Gross Earnings,80400
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Expenses,12100
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Income Before Tax,68300
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Income Before Tax Standard Error,725
Salaried,GPMS,England,All,All,All,Rural,All,All,All,,,,,Median Income Before Tax,64100
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Sample Count,5400
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Estimated Population,11350
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average SE Gross Earnings,19900
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average SE Expenses,9300
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average SE Income Before Tax,10600
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average Emp Gross Earnings,59700
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average Emp Expenses,900
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average Emp Income Before Tax,58700
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average Tot Gross Earnings,79600
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average Tot Expenses,10200
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Average Tot Income Before Tax,69400
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Income Before Tax Standard Error,320
Salaried,GPMS,England,All,All,All,Urban,All,All,All,,,,,Median Income Before Tax,64200
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Sample Count,2650
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Estimated Population,6500
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average SE Gross Earnings,22100
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average SE Expenses,10700
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average SE Income Before Tax,11400
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average Emp Gross Earnings,57100
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average Emp Expenses,800
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average Emp Income Before Tax,56400
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Gross Earnings,79200
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Expenses,11500
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Average Tot Income Before Tax,67800
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Income Before Tax Standard Error,438
Salaried,GPMS,England,All,All,<40,All,All,All,All,,,,,Median Income Before Tax,64400
Salaried,GPMS,England,All,All,>=40<50,All,All,All,All,,,,,Sample Count,2200
Salaried,GPMS,England,All,All,>=40<50,All,All,All,All,,,,,Estimated Population,4200
Salaried,GPMS,England,All,All,>=40<50,All,All,All,All,,,,,Average SE Gross Earnings,20700
