IndicatorID,Year,AreaCode,AreaName,IsAreaCurrent,Value
93553,2010,A81001,The Densham Surgery,1,25.07512244
93553,2015,A81001,The Densham Surgery,1,29.14031034
93553,2019,A81001,The Densham Surgery,1,32.36093926
93553,2010,A81002,Queens Park Medical Centre,1,27.70068196
93553,2015,A81002,Queens Park Medical Centre,1,29.68970594
93553,2019,A81002,Queens Park Medical Centre,1,31.92195764
93553,2010,A81003,Victoria Medical Practice,0,41.52382808
93553,2015,A81003,Victoria Medical Practice,0,41.3878291
93553,2010,A81004,Bluebell Medical Centre,1,33.05192877
93553,2015,A81004,Bluebell Medical Centre,1,34.41182835
93553,2019,A81004,Bluebell Medical Centre,1,28.02402606
93553,2010,A81005,Springwood Surgery,1,14.55968705
93553,2015,A81005,Springwood Surgery,1,15.74381223
93553,2019,A81005,Springwood Surgery,1,15.39820693
93553,2010,A81006,Tennant Street Medical Practice,1,29.1444884
93553,2015,A81006,Tennant Street Medical Practice,1,31.79151483
93553,2019,A81006,Tennant Street Medical Practice,1,35.61238709
93553,2010,A81007,Bankhouse Surgery,1,32.6217359
93553,2015,A81007,Bankhouse Surgery,1,32.06803777
93553,2019,A81007,Bankhouse Surgery,1,34.4445324
93553,2010,A81008,Albert House Clinic,0,51.05680373
93553,2015,A81008,Albert House Clinic,0,51.55145307
93553,2010,A81009,Village Medical Centre,1,35.09873517
93553,2015,A81009,Village Medical Centre,1,35.26387752
93553,2019,A81009,Village Medical Centre,1,35.86584918
93553,2010,A81011,Chadwick Practice,1,34.46625707
93553,2015,A81011,Chadwick Practice,1,34.62706152
93553,2019,A81011,Chadwick Practice,1,36.30890201
93553,2010,A81012,Westbourne Medical Centre,1,47.25744875
93553,2015,A81012,Westbourne Medical Centre,1,50.12893946
93553,2019,A81012,Westbourne Medical Centre,1,52.64702092
93553,2010,A81013,Brotton Surgery,1,28.76729642
93553,2015,A81013,Brotton Surgery,1,29.95548785
93553,2019,A81013,Brotton Surgery,1,29.72275278
93553,2010,A81014,Queenstree Practice,1,21.30051244
93553,2015,A81014,Queenstree Practice,1,22.23572058
93553,2019,A81014,Queenstree Practice,1,23.2413016
93553,2010,A81015,Lagan Surgery,0,26.61031848
93553,2015,A81015,Lagan Surgery,0,24.50057883
93553,2010,A81016,Park Surgery,1,41.72949543
93553,2015,A81016,Park Surgery,1,43.80378033
93553,2019,A81016,Park Surgery,1,44.48916704
93553,2010,A81017,Woodbridge Practice,1,20.1616576
93553,2015,A81017,Woodbridge Practice,1,18.98819117
93553,2019,A81017,Woodbridge Practice,1,18.95062853
93553,2010,A81018,Bentley Medical Practice,1,34.20432976
93553,2015,A81018,Bentley Medical Practice,1,29.54301673
93553,2019,A81018,Bentley Medical Practice,1,31.65217693
93553,2010,A81019,Crossfell Health Centre,1,45.73487282
93553,2015,A81019,Crossfell Health Centre,1,49.49477708
93553,2019,A81019,Crossfell Health Centre,1,51.03596365
93553,2010,A81020,Martonside Medical Centre,1,30.64940428
93553,2015,A81020,Martonside Medical Centre,1,31.52312175
93553,2019,A81020,Martonside Medical Centre,1,32.5907881
93553,2010,A81021,Normanby Medical Centre,1,34.21700089
93553,2015,A81021,Normanby Medical Centre,1,34.75313748
93553,2019,A81021,Normanby Medical Centre,1,36.74703152
93553,2010,A81022,Hillside Practice,1,29.34302498
93553,2015,A81022,Hillside Practice,1,27.71023657
93553,2019,A81022,Hillside Practice,1,28.10465509
93553,2010,A81023,The Endeavour Practice,1,43.94130575
93553,2015,A81023,The Endeavour Practice,1,46.63089592
