"Practice.Code","IMD","Year"
"A81001",25.07512244,2010
"A81001",25.88816002,2011
"A81001",26.7011976,2012
"A81001",27.51423518,2013
"A81001",28.32727276,2014
"A81001",29.14031034,2015
"A81001",29.94546757,2016
"A81001",30.7506248,2017
"A81001",31.55578203,2018
"A81001",32.36093926,2019
"A81001",32.36093926,2020
"A81001",32.36093926,2021
"A81001",32.36093926,2022
"A81001",32.36093926,2023
"A81002",27.70068196,2010
"A81002",28.098486756,2011
"A81002",28.496291552,2012
"A81002",28.894096348,2013
"A81002",29.291901144,2014
"A81002",29.68970594,2015
"A81002",30.247768865,2016
"A81002",30.80583179,2017
"A81002",31.363894715,2018
"A81002",31.92195764,2019
"A81002",31.92195764,2020
"A81002",31.92195764,2021
"A81002",31.92195764,2022
"A81002",31.92195764,2023
"A81003",41.52382808,2010
"A81003",41.496628284,2011
"A81003",41.469428488,2012
"A81003",41.442228692,2013
"A81003",41.415028896,2014
"A81003",41.3878291,2015
"A81004",33.05192877,2010
"A81004",33.323908686,2011
"A81004",33.595888602,2012
"A81004",33.867868518,2013
"A81004",34.139848434,2014
"A81004",34.41182835,2015
"A81004",32.8148777775,2016
"A81004",31.217927205,2017
"A81004",29.6209766325,2018
"A81004",28.02402606,2019
"A81004",28.02402606,2020
"A81004",28.02402606,2021
"A81004",28.02402606,2022
"A81004",28.02402606,2023
"A81005",14.55968705,2010
"A81005",14.796512086,2011
"A81005",15.033337122,2012
"A81005",15.270162158,2013
"A81005",15.506987194,2014
"A81005",15.74381223,2015
"A81005",15.657410905,2016
"A81005",15.57100958,2017
"A81005",15.484608255,2018
"A81005",15.39820693,2019
"A81005",15.39820693,2020
"A81005",15.39820693,2021
"A81005",15.39820693,2022
"A81005",15.39820693,2023
"A81006",29.1444884,2010
"A81006",29.673893686,2011
"A81006",30.203298972,2012
"A81006",30.732704258,2013
"A81006",31.262109544,2014
"A81006",31.79151483,2015
"A81006",32.746732895,2016
"A81006",33.70195096,2017
"A81006",34.657169025,2018
"A81006",35.61238709,2019
