"Practice.Code","ICB.NAME","IMD","IMD_quintile"
"A81001","North East and North Cumbria",32.36093926,4
"A81002","North East and North Cumbria",31.92195764,4
"A81004","North East and North Cumbria",28.02402606,4
"A81005","North East and North Cumbria",15.39820693,2
"A81006","North East and North Cumbria",35.61238709,5
"A81007","North East and North Cumbria",34.4445324,5
"A81009","North East and North Cumbria",35.86584918,5
"A81011","North East and North Cumbria",36.30890201,5
"A81012","North East and North Cumbria",52.64702092,5
"A81013","North East and North Cumbria",29.72275278,4
"A81014","North East and North Cumbria",23.2413016,3
"A81016","North East and North Cumbria",44.48916704,5
"A81017","North East and North Cumbria",18.95062853,3
"A81018","North East and North Cumbria",31.65217693,4
"A81019","North East and North Cumbria",51.03596365,5
"A81020","North East and North Cumbria",32.5907881,4
"A81021","North East and North Cumbria",36.74703152,5
"A81022","North East and North Cumbria",28.10465509,4
"A81023","North East and North Cumbria",46.72625716,5
"A81025","North East and North Cumbria",34.54680434,5
"A81026","North East and North Cumbria",43.04190562,5
"A81027","North East and North Cumbria",8.498276515,1
"A81029","North East and North Cumbria",48.71806737,5
"A81030","North East and North Cumbria",29.21367425,4
"A81031","North East and North Cumbria",37.37028971,5
"A81032","North East and North Cumbria",18.87409624,3
"A81034","North East and North Cumbria",21.20401337,3
"A81035","North East and North Cumbria",45.50573605,5
"A81036","North East and North Cumbria",28.14896883,4
"A81037","North East and North Cumbria",47.20188754,5
"A81038","North East and North Cumbria",48.84968334,5
"A81039","North East and North Cumbria",9.810949199,1
"A81040","North East and North Cumbria",24.15772625,3
"A81041","North East and North Cumbria",35.67246825,5
"A81042","North East and North Cumbria",44.4887079,5
"A81043","North East and North Cumbria",34.88567243,5
"A81044","North East and North Cumbria",34.88387014,5
"A81045","North East and North Cumbria",30.3384962,4
"A81046","North East and North Cumbria",31.46987495,4
"A81048","North East and North Cumbria",17.10870732,2
"A81049","North East and North Cumbria",51.90026988,5
"A81051","North East and North Cumbria",28.41891,4
"A81052","North East and North Cumbria",29.42239419,4
"A81053","North East and North Cumbria",36.88232059,5
"A81054","North East and North Cumbria",30.26605486,4
"A81056","North East and North Cumbria",24.1716921,3
"A81057","North East and North Cumbria",26.19803912,4
"A81058","North East and North Cumbria",29.30668438,4
"A81060","North East and North Cumbria",33.12854462,5
"A81063","North East and North Cumbria",37.62924613,5
"A81064","North East and North Cumbria",46.1153732,5
"A81065","North East and North Cumbria",49.16234326,5
"A81066","North East and North Cumbria",16.08137197,2
"A81067","North East and North Cumbria",40.51026596,5
"A81070","North East and North Cumbria",31.31711076,4
"A81602","North East and North Cumbria",21.72787633,3
"A81608","North East and North Cumbria",38.9923193,5
"A81610","North East and North Cumbria",23.33127092,3
"A81611","North East and North Cumbria",28.8155197,4
"A81612","North East and North Cumbria",23.41244905,3
"A81618","North East and North Cumbria",20.89523695,3
"A81621","North East and North Cumbria",67.40740788,5
"A81622","North East and North Cumbria",40.39522356,5
"A81629","North East and North Cumbria",38.51984913,5
"A81631","North East and North Cumbria",35.48259456,5
"A81633","North East and North Cumbria",62.98951579,5
"A81634","North East and North Cumbria",59.15179074,5
"A82003","Lancashire and South Cumbria",14.57892826,2
"A82004","North East and North Cumbria",20.10173872,3
"A82005","Lancashire and South Cumbria",12.58326118,1
"A82006","North East and North Cumbria",15.88497829,2
"A82007","Lancashire and South Cumbria",35.34187825,5
"A82008","Lancashire and South Cumbria",32.31908057,4
"A82009","Lancashire and South Cumbria",33.33581017,5
"A82010","Lancashire and South Cumbria",26.73957171,4
"A82012","North East and North Cumbria",14.18831259,2
"A82013","North East and North Cumbria",20.56862815,3
"A82014","North East and North Cumbria",17.63140964,2
"A82015","North East and North Cumbria",27.80747266,4
"A82016","North East and North Cumbria",22.7083934,3
"A82018","North East and North Cumbria",23.52692056,3
"A82019","North East and North Cumbria",24.48907915,3
"A82020","North East and North Cumbria",24.62371007,4
"A82021","North East and North Cumbria",13.41072608,2
"A82022","North East and North Cumbria",14.93832639,2
"A82023","North East and North Cumbria",23.88475893,3
"A82024","North East and North Cumbria",14.46701636,2
"A82025","Lancashire and South Cumbria",14.39839285,2
"A82026","Lancashire and South Cumbria",12.50949903,1
"A82027","Lancashire and South Cumbria",13.55844133,2
"A82028","North East and North Cumbria",12.62575785,1
"A82029","North East and North Cumbria",18.70936406,3
"A82030","Lancashire and South Cumbria",11.60198722,1
"A82031","North East and North Cumbria",15.69705813,2
"A82032","North East and North Cumbria",30.21792119,4
"A82033","Lancashire and South Cumbria",27.27439253,4
"A82035","North East and North Cumbria",14.88709934,2
"A82036","North East and North Cumbria",14.96139191,2
"A82037","North East and North Cumbria",24.4071086,3
"A82038","North East and North Cumbria",15.89251872,2
"A82039","Lancashire and South Cumbria",19.09339794,3
"A82041","North East and North Cumbria",27.70845082,4
"A82044","North East and North Cumbria",25.9900761,4
"A82045","North East and North Cumbria",19.00752654,3
"A82046","Lancashire and South Cumbria",12.30606465,1
"A82047","North East and North Cumbria",30.40453598,4
"A82053","Lancashire and South Cumbria",11.45818382,1
"A82055","North East and North Cumbria",22.23774092,3
"A82058","North East and North Cumbria",24.37733966,3
"A82062","Lancashire and South Cumbria",37.81485085,5
"A82064","North East and North Cumbria",21.94888961,3
"A82068","Lancashire and South Cumbria",15.37603811,2
"A82070","Lancashire and South Cumbria",12.44841314,1
"A82071","Lancashire and South Cumbria",27.72602744,4
"A82072","Lancashire and South Cumbria",33.63027951,5
"A82075","North East and North Cumbria",28.86767648,4
"A82077","Lancashire and South Cumbria",30.86164155,4
"A82608","Lancashire and South Cumbria",15.45732873,2
"A82613","Lancashire and South Cumbria",13.93758949,2
"A82617","North East and North Cumbria",14.24110852,2
"A82620","North East and North Cumbria",17.77056618,2
"A82629","Lancashire and South Cumbria",38.56316913,5
"A82631","North East and North Cumbria",14.81447223,2
"A82646","North East and North Cumbria",31.14498168,4
"A82647","Lancashire and South Cumbria",11.54849889,1
"A82650","Lancashire and South Cumbria",15.55939691,2
"A82651","Lancashire and South Cumbria",13.80259664,2
"A82654","North East and North Cumbria",24.94389465,4
"A83001","North East and North Cumbria",26.4540396,4
"A83003","North East and North Cumbria",34.83759727,5
"A83005","North East and North Cumbria",25.95837375,4
"A83006","North East and North Cumbria",26.40101756,4
"A83007","North East and North Cumbria",40.22311745,5
"A83008","North East and North Cumbria",42.44180829,5
"A83009","North East and North Cumbria",20.29811546,3
"A83010","North East and North Cumbria",22.69267617,3
"A83011","North East and North Cumbria",10.9044101,1
"A83012","North East and North Cumbria",38.71363362,5
"A83013","North East and North Cumbria",34.0324891,5
"A83014","North East and North Cumbria",18.45337332,3
"A83015","North East and North Cumbria",32.17349916,4
"A83016","North East and North Cumbria",32.20901291,4
"A83018","North East and North Cumbria",22.67427875,3
"A83020","North East and North Cumbria",29.74618581,4
"A83021","North East and North Cumbria",32.00584413,4
"A83022","North East and North Cumbria",25.42832636,4
"A83023","North East and North Cumbria",33.771525,5
"A83024","North East and North Cumbria",26.95895781,4
"A83025","North East and North Cumbria",35.88131611,5
"A83026","North East and North Cumbria",23.98608946,3
"A83027","North East and North Cumbria",19.01399048,3
"A83028","North East and North Cumbria",20.15829479,3
"A83029","North East and North Cumbria",16.01175415,2
"A83030","North East and North Cumbria",21.1177036,3
"A83031","North East and North Cumbria",17.36154685,2
"A83032","North East and North Cumbria",25.44689609,4
"A83033","North East and North Cumbria",26.01225844,4
"A83034","North East and North Cumbria",25.66136158,4
"A83035","North East and North Cumbria",19.45499191,3
"A83036","North East and North Cumbria",9.709860587,1
"A83037","North East and North Cumbria",24.87895763,4
"A83038","North East and North Cumbria",18.48689782,3
"A83040","North East and North Cumbria",33.81978039,5
"A83041","North East and North Cumbria",31.72023701,4
"A83043","North East and North Cumbria",19.22340435,3
"A83044","North East and North Cumbria",43.30221006,5
"A83045","North East and North Cumbria",34.00681414,5
"A83046","North East and North Cumbria",15.11418742,2
"A83047","North East and North Cumbria",30.0275925,4
"A83048","North East and North Cumbria",11.6867727,1
"A83049","North East and North Cumbria",20.39322553,3
"A83050","North East and North Cumbria",19.2427999,3
"A83051","North East and North Cumbria",28.46756436,4
"A83052","North East and North Cumbria",27.06834726,4
"A83054","North East and North Cumbria",20.81830858,3
"A83055","North East and North Cumbria",12.15742604,1
"A83057","North East and North Cumbria",41.93922984,5
"A83060","North East and North Cumbria",22.05548735,3
"A83061","North East and North Cumbria",13.7635523,2
"A83066","North East and North Cumbria",32.28503773,4
"A83070","North East and North Cumbria",10.92339406,1
"A83071","North East and North Cumbria",27.80800851,4
"A83072","North East and North Cumbria",13.6341306,2
"A83073","North East and North Cumbria",33.50455695,5
"A83074","North East and North Cumbria",29.62419112,4
"A83075","North East and North Cumbria",29.30454671,4
"A83610","North East and North Cumbria",34.2427697,5
"A83616","North East and North Cumbria",39.57074182,5
"A83617","North East and North Cumbria",22.26005109,3
"A83618","North East and North Cumbria",24.4442419,3
"A83619","North East and North Cumbria",41.5638028,5
"A83622","North East and North Cumbria",25.95400061,4
"A83626","North East and North Cumbria",32.24967499,4
"A83627","North East and North Cumbria",35.44039273,5
"A83634","North East and North Cumbria",37.31337609,5
"A83635","North East and North Cumbria",20.12189781,3
"A83636","North East and North Cumbria",25.8918776,4
"A83637","North East and North Cumbria",29.12166208,4
"A83641","North East and North Cumbria",38.10310918,5
"A83644","North East and North Cumbria",33.33594104,5
"A84002","North East and North Cumbria",16.63894949,2
"A84005","North East and North Cumbria",23.54605016,3
"A84006","North East and North Cumbria",15.01503338,2
"A84007","North East and North Cumbria",8.739824692,1
"A84008","North East and North Cumbria",21.45775128,3
"A84009","North East and North Cumbria",36.93094062,5
"A84011","North East and North Cumbria",8.853483541,1
"A84013","North East and North Cumbria",30.41736482,4
"A84014","North East and North Cumbria",34.44271039,5
"A84016","North East and North Cumbria",13.39918114,2
"A84018","North East and North Cumbria",10.34350745,1
"A84020","North East and North Cumbria",26.69204959,4
"A84022","North East and North Cumbria",23.86529827,3
"A84024","North East and North Cumbria",13.27432044,2
"A84025","North East and North Cumbria",24.94460944,4
"A84026","North East and North Cumbria",22.35307978,3
"A84027","North East and North Cumbria",17.86580214,2
"A84028","North East and North Cumbria",33.06413324,5
"A84029","North East and North Cumbria",19.54528453,3
"A84030","North East and North Cumbria",21.40992634,3
"A84031","North East and North Cumbria",13.90738002,2
"A84032","North East and North Cumbria",20.09015887,3
"A84033","North East and North Cumbria",13.26878067,2
"A84034","North East and North Cumbria",20.42784778,3
"A84035","North East and North Cumbria",12.16722321,1
"A84036","North East and North Cumbria",25.29260344,4
"A84037","North East and North Cumbria",22.45095007,3
"A84038","North East and North Cumbria",21.07838876,3
"A84039","North East and North Cumbria",14.30328681,2
"A84040","North East and North Cumbria",14.15747065,2
"A84042","North East and North Cumbria",16.19627671,2
"A84044","North East and North Cumbria",22.61660533,3
"A84045","North East and North Cumbria",16.41040491,2
"A84047","North East and North Cumbria",10.10024463,1
"A84604","North East and North Cumbria",19.84537317,3
"A84609","North East and North Cumbria",9.360361568,1
"A84614","North East and North Cumbria",15.90676579,2
"A84619","North East and North Cumbria",20.65807135,3
"A85001","North East and North Cumbria",21.01075361,3
"A85002","North East and North Cumbria",33.35337407,5
"A85003","North East and North Cumbria",20.49315408,3
"A85004","North East and North Cumbria",32.92865792,5
"A85005","North East and North Cumbria",35.48454994,5
"A85006","North East and North Cumbria",25.5058145,4
"A85007","North East and North Cumbria",20.75896724,3
"A85008","North East and North Cumbria",25.62410928,4
"A85009","North East and North Cumbria",38.14332509,5
"A85010","North East and North Cumbria",21.48743406,3
"A85011","North East and North Cumbria",40.66669098,5
"A85012","North East and North Cumbria",42.74219616,5
"A85013","North East and North Cumbria",35.6601023,5
"A85014","North East and North Cumbria",14.5037643,2
"A85016","North East and North Cumbria",36.35154044,5
"A85017","North East and North Cumbria",33.77648936,5
