Sub ICB Loc ODS code,Sub ICB Loc ONS code,Sub ICB Loc name,PCN ODS code,PCN name,Practice code,Practice name,perc_achievement
,,,,,A84006,Alnwick Medical Group,89.62962963
,,,,,A84005,Bedlingtonshire Med.Group,95.53571429
,,,,,A84008,Belford Medical Practice,100
,,,,,A84027,Bellingham Practice,100
,,,,,A84047,Branch End Surgery,98
,,,,,A84024,Burn Brae Medical Group,93.90243902
,,,,,A84022,Coquet Medical Group,94.69026549
,,,,,A84018,Corbridge Health Centre,96.96969697
,,,,,A84025,Cramlington Medical Group,97.95918367
,,,,,A84619,Elsdon Avenue Surgery,84.21052632
,,,,,A84038,Forum Family Practice,95.12195122
,,,,,A84039,Gas House Lane Surgery,85.96491228
,,,,,A84031,Greystoke Surgery,96.15384615
,,,,,A84020,Guidepost Medical Group,95.23809524
,,,,,A84034,Haltwhistle Medical Group,94.23076923
,,,,,A84045,Haydon Bridge & Allendale Medical Pract,89.13043478
,,,,,A84040,Humshaugh & Wark Med Grp,90
,,,,,A84014,Marine Medical Group,92.8057554
,,,,,A84037,Netherfield House,100
,,,,,A84029,Northumberland Health,96.96969697
,,,,,A84007,Ponteland Medical Group,83.87096774
,,,,,A84016,Prudhoe Medical Group,89.70588235
,,,,,A84009,Railway Medical Group,93.04635762
,,,,,A84035,Riversdale Surgery,94.73684211
,,,,,A84042,Scots Gap Medical Group,100
,,,,,A84028,Seaton Park Medical Group,91.27906977
,,,,,A84614,The Adderlane Surgery,100
,,,,,A84013,The Gables Medical Group,100
,,,,,A84002,The Rothbury Practice,90
,,,,,A84033,The Sele Medical Practice,97.22222222
,,,,,A84044,Union Brae & Norham Prac,100
,,,,,A84036,Valens Medical Partnership,95.54730983
,,,,,A84030,Village Medical Group,96.22641509
,,,,,A84026,Well Close Medical Group,96.96969697
,,,,,A84011,White Medical Group,93.50649351
,,,,,A84604,Wooler Health,96.42857143
,,,,,A88010,Albert Road Surgery,92.30769231
,,,,,A88013,Central Surgery,91.98312236
,,,,,A88016,Colliery Court Medical Group,96.05263158
,,,,,A88009,Dr Thorniley-Walker & Partners,89.28571429
,,,,,A88613,East Wing Practice,95.74468085
,,,,,A88012,Ellison View Surgery,96
,,,,,A88002,Farnham Medical Ctr.,95.32163743
,,,,,A88601,Imeary Medical Group,94.11764706
,,,,,A88003,Marsden Rd. Health Centre,98.11320755
,,,,,A88004,Mayfield Medical Group,86.95652174
,,,,,A88608,Ravensworth Surgery,98.07692308
,,,,,A88015,St George & Riverside Medical Practice,85.71428571
,,,,,A88006,Talbot Medical Centre,96.15384615
,,,,,A88025,The G.P.Suite,96.15384615
,,,,,A88022,The Glen Medical Group,96.03174603
,,,,,A88008,Trinity Medical Centre,89.36170213
,,,,,A88001,Victoria Medical Centre,90.90909091
,,,,,A88007,Wawn Street Surgery,96
,,,,,A88005,Wenlock Road Surgery,88.0952381
,,,,,A88014,West View Surgery,92.85714286
,,,,,A88023,Whitburn Surgery,95.55555556
,,,,,A89018,Ashburn Medical Centre,85.41666667
,,,,,A89019,Bridge View Medical Group,96.15384615
,,,,,A89036,Castletown Medical Centre,95.23809524
,,,,,A89623,Chester Surgery,87.87878788
,,,,,A89022,Concord Medical Practice,94.28571429
,,,,,A89001,Deerness Park Medical Group,91.66666667
,,,,,A89020,Forge Medical Practice,96.20253165
,,,,,A89015,"Fulwell Medical Centre,",98.64864865
,,,,,A89012,Galleries Medical Practice,95.57522124
,,,,,A89028,Grangewood Surgery,97.05882353
,,,,,A89041,Happy House Surgery,89
,,,,,A89009,Herrington Medical Centre,93.5483871
,,,,,A89004,Hetton Group Practice,93.10344828
,,,,,A89023,"Houghton Medical Group,",94.52054795
,,,,,A89031,Hylton Medical Group,74.41860465
,,,,,A89617,I J Healthcare,75.86206897
,,,,,A89011,Joshi Na,97.56097561
,,,,,A89021,Kepier Medical Practice,97.6744186
,,,,,A89017,Millfield Medical Group,94.55782313
,,,,,A89040,Monkwearmouth Health Centre,93.75
,,,,,A89032,New Silksworth Medical Practice,94.59459459
,,,,,A89026,New Washington Medical Group,97.33333333
,,,,,A89007,Pallion Family Practice,90.10989011
,,,,,A89034,Park Lane Practice,91.66666667
,,,,,A89008,Red House Medical Centre,84.74576271
,,,,,A89616,Rickleton Medical Centre,100
,,,,,A89002,Riverview Surgery,84.74576271
,,,,,A89035,Southlands Medical Group,97.22222222
,,,,,A89027,Springwell Medical Group,97.36842105
,,,,,A89016,St Bede Medical Centre,91.17647059
,,,,,A89025,Sunderland Gp Alliance Medical Practice,93.87755102
,,,,,A89614,Sunderland Gp Alliance South Hylton Surg,95.65217391
,,,,,A89024,The Broadway Medical Practice,94.66666667
,,,,,A89013,The New City Medical Group,82.14285714
,,,,,A89010,The Stephenson Medical Practice,93.18181818
,,,,,A89005,Villette Surgery,86.66666667
,,,,,A89006,Wearside Medical Practice - Pallion,89.01098901
,,,,,A89030,Westbourne Medical Group,90.32258065
,,,,,Y02657,Bentham Road Health Centre,79.20792079
,,,,,P81704,Blakewater Healthcare,97.18309859
,,,,,P81155,Brownhill Surgery,93.93939394
,,,,,P81051,Darwen Healthcare,97.05882353
,,,,,P81140,Darwen Healthlink,91.76470588
,,,,,P81694,Family Practice,78.94736842
,,,,,P81721,Hollins Grove Surgery,92.30769231
,,,,,P81214,Limefield Surgery,85.50724638
,,,,,P81005,Little Harwood Health Centre,82.85714286
,,,,,P81125,Oakenhurst Medical Practice,81.73913043
,,,,,P81683,Olive Medical Centre,79.7752809
,,,,,P81771,Primrose Bank Medical Centre,86.7768595
,,,,,P81724,Pringle Street Surgery,82.85714286
,,,,,P81061,Redlam Surgery,97.87234043
,,,,,P81709,Roman Road Health Centre,91.83673469
,,,,,P81622,Shifa Surgery,88.23529412
,,,,,P81633,Spring-Fenisco Healthlink,96.77419355
,,,,,P81058,St Georges Surgery,89.68253968
,,,,,P81167,Stepping Stone Practice,92.40506329
,,,,,P81734,The Cornerstone Practice,83.33333333
,,,,,P81707,William Hopwood Street Surgery,93.50649351
,,,,,P81022,Witton Medical Centre,90
,,,,,P81714,Abbey Dale Medical Centre,77.77777778
,,,,,P81042,Adelaide Street Surgery,83.62573099
,,,,,P81081,Arnold Medical Centre,96.36363636
,,,,,P81115,Bloomfield Medical Centre,94.70588235
,,,,,P81073,Cleveleys Group Practice,91.76470588
,,,,,P81072,Glenroyd Medical Centre,96.77419355
,,,,,P81074,Highfield Surgery,93.33333333
,,,,,P81066,Layton Medical Centre,86.48648649
,,,,,P81054,Marton Medical Practice,88.99082569
,,,,,P81172,Newton Drive Health Centre,89.44099379
,,,,,P81681,North Shore Surgery,93.75
,,,,,P81043,South King Street Medical Centre,88
,,,,,P81063,St Pauls Medical Centre,88.46153846
,,,,,P81159,Stonyhill Medical Practice,88.69565217
,,,,,P81092,The Crescent Surgery,90
,,,,,P81016,Waterloo Medical Centre,89.43661972
,,,,,Y00186,3D Medical Centre,100
,,,,,P82640,Al Fal Medical Group,91.78082192
,,,,,P82616,Beehive Surgery,96.92307692
,,,,,Y03079,Bolton Community Practice,85.16483516
,,,,,Y02319,Bolton General Practice,93.68421053
,,,,,Y02790,Bolton Medical Centre,89.91596639
,,,,,P82033,Bradford Street Surgery,90.90909091
,,,,,P82643,Bromley Meadows Surgery,79.72972973
,,,,,P82025,Burnside Surgery,88.23529412
,,,,,P82625,Charlotte Street Surgery,43.58974359
,,,,,P82627,Cornerstone Surgery,93.33333333
,,,,,P82607,Crompton View Surgery,96.77419355
,,,,,P82010,Dalefield Surgery,84.95575221
,,,,,P82660,Deane Clinic 1,90.90909091
,,,,,P82030,Deane Medical Centre,96.07843137
,,,,,P82006,Dr Malhotra & Partners,95.40229885
,,,,,P82022,Dr Rizwan And Dr Awan,72.58064516
,,,,,P82629,Dr S Naseef,96.42857143
,,,,,P82034,Edgworth Medical Centre,97.56097561
,,,,,P82652,Farnworth Family Practice,96.15384615
,,,,,P82037,Fig Tree Medical Practice,87.5
,,,,,P82633,Great Lever One,100
,,,,,P82029,Halliwell Surgery 2,91.66666667
,,,,,P82626,Halliwell Surgery 3,90.625
,,,,,P82016,Harwood Medical Centre,81.1965812
,,,,,P82031,Heaton Medical Centre,89.7810219
,,,,,P82007,Kearsley Medical Centre,80.55555556
,,,,,P82003,Kildonan House,88.81578947
,,,,,P82013,Lever Chambers 2,71.42857143
,,,,,P82020,Little Lever Health Centre 1,82.35294118
,,,,,P82036,Little Lever Health Centre 2,100
,,,,,P82023,Mandalay Medical Centre,91.25
,,,,,P82012,Octagon Medical Centre,78.68852459
