"Practice.Code","prop65","IMD","Practice.Rurality"
"A81001",22.17217,32.36093926,"Urban"
"A81002",22.95386,31.92195764,"Urban"
"A81004",19.51933,28.02402606,"Urban"
"A81005",30.35603,15.39820693,"Urban"
"A81006",19.59953,35.61238709,"Urban"
"A81007",19.64232,34.4445324,"Urban"
"A81009",17.37273,35.86584918,"Urban"
"A81011",21.52183,36.30890201,"Urban"
"A81012",13.29282,52.64702092,"Urban"
"A81014",26.42336,23.2413016,"Urban"
"A81016",12.42996,44.48916704,"Urban"
"A81017",16.70205,18.95062853,"Urban"
"A81018",21.4615,31.65217693,"Urban"
"A81019",16.56116,51.03596365,"Urban"
"A81020",21.58136,32.5907881,"Urban"
"A81021",19.36151,36.74703152,"Urban"
"A81023",10.67742,46.72625716,"Urban"
"A81025",19.81132,34.54680434,"Urban"
"A81026",15.74125,43.04190562,"Urban"
"A81027",23.64369,8.498276515,"Urban"
"A81029",10.35167,48.71806737,"Urban"
"A81030",19.31914,29.21367425,"Urban"
"A81031",18.83161,37.37028971,"Urban"
"A81032",25.84319,18.87409624,"Urban"
"A81034",15.48158,21.20401337,"Urban"
"A81035",16.29087,45.50573605,"Urban"
"A81036",20.78188,28.14896883,"Urban"
"A81037",11.95412,47.20188754,"Urban"
"A81038",13.11946,48.84968334,"Urban"
"A81039",20.05184,9.810949199,"Urban"
"A81040",20.59066,24.15772625,"Urban"
"A81041",21.64108,35.67246825,"Urban"
"A81042",17.33841,44.4887079,"Urban"
"A81043",21.19283,34.88567243,"Urban"
"A81044",20.18461,34.88387014,"Urban"
"A81045",21.48706,30.3384962,"Urban"
"A81046",21.5525,31.46987495,"Urban"
"A81049",15.56977,51.90026988,"Urban"
"A81051",17.9582,28.41891,"Urban"
"A81052",21.5366,29.42239419,"Urban"
"A81054",21.4528,30.26605486,"Urban"
"A81056",22.83751,24.1716921,"Urban"
"A81057",18.66795,26.19803912,"Urban"
"A81058",20.68301,29.30668438,"Urban"
"A81060",21.81667,33.12854462,"Urban"
"A81063",19.77782,37.62924613,"Urban"
"A81064",9.84768,46.1153732,"Urban"
