"Practice.Code","Year","IMD_quintile","ICB.NAME","Life_Expectancy_Female","Life_Expectancy_Male"
"A81001",2010,4,"North East and North Cumbria",81.0712694683283,76.1644303517948
"A81001",2012,4,"North East and North Cumbria",81.9797189695551,76.2354064642507
"A81001",2014,4,"North East and North Cumbria",81.2797891842346,76.0289588377724
"A81001",2017,4,"North East and North Cumbria",79.88415938,75.88578717
"A81001",2019,4,"North East and North Cumbria",80.02669134,75.64751993
"A81001",2020,4,"North East and North Cumbria",80.0365,75.7351
"A81002",2010,4,"North East and North Cumbria",81.1429174560679,76.284244449057
"A81002",2012,4,"North East and North Cumbria",81.8094820717131,77.1180593816957
"A81002",2014,4,"North East and North Cumbria",81.6791319030592,77.3642097730526
"A81002",2017,4,"North East and North Cumbria",80.66345751,77.18627932
"A81002",2019,4,"North East and North Cumbria",80.70763073,76.90563613
"A81002",2020,4,"North East and North Cumbria",80.3868,77.0711
"A81004",2010,4,"North East and North Cumbria",81.4274871366543,76.9458106378789
"A81004",2012,4,"North East and North Cumbria",81.3642293407614,76.7217872152179
"A81004",2014,5,"North East and North Cumbria",NA,NA
"A81004",2017,4,"North East and North Cumbria",82.05462584,77.45808824
"A81004",2019,4,"North East and North Cumbria",83.08577156,77.47451201
"A81004",2020,4,"North East and North Cumbria",82.8159,76.9187
"A81005",2010,2,"North East and North Cumbria",83.3231533016638,80.6600538360953
"A81005",2012,2,"North East and North Cumbria",82.9526017262639,82.0273692387364
"A81005",2014,2,"North East and North Cumbria",82.7831194471866,82.1992920818039
"A81005",2017,2,"North East and North Cumbria",83.66181841,81.21433362
"A81005",2019,2,"North East and North Cumbria",84.23315567,80.23268142
"A81005",2020,2,"North East and North Cumbria",83.9117,80.3086
"A81006",2010,4,"North East and North Cumbria",80.8322856016167,75.9217900125721
"A81006",2012,4,"North East and North Cumbria",81.3992406264831,76.7583430766661
"A81006",2014,4,"North East and North Cumbria",81.3675118110236,76.9309606769537
"A81006",2017,5,"North East and North Cumbria",80.17529588,76.54517753
"A81006",2019,5,"North East and North Cumbria",80.19970504,76.3789342
"A81006",2020,5,"North East and North Cumbria",79.8751,76.4815
"A81007",2010,4,"North East and North Cumbria",80.0339339060537,75.7119963452707
"A81007",2012,4,"North East and North Cumbria",81.6194301053066,76.9655953408111
"A81007",2014,4,"North East and North Cumbria",81.625827682489,77.4172276813715
"A81007",2017,5,"North East and North Cumbria",81.71339009,76.54332499
"A81007",2019,5,"North East and North Cumbria",81.40105286,76.45572536
"A81007",2020,5,"North East and North Cumbria",81.6854,76.2421
"A81009",2010,5,"North East and North Cumbria",80.3240634587991,76.3242927244277
"A81009",2012,5,"North East and North Cumbria",80.4590502555366,76.7003528114663
"A81009",2014,5,"North East and North Cumbria",NA,NA
"A81009",2017,5,"North East and North Cumbria",79.96517606,76.05246479
"A81009",2019,5,"North East and North Cumbria",80.34698312,76.04070188
"A81009",2020,5,"North East and North Cumbria",80.3259,75.3928
"A81011",2010,4,"North East and North Cumbria",79.7654765785302,75.3868649642657
"A81011",2012,5,"North East and North Cumbria",81.3908541999645,76.6363839701771
"A81011",2014,5,"North East and North Cumbria",81.4161794697485,77.1035656979854
"A81011",2017,5,"North East and North Cumbria",81.52682845,76.47061886
"A81011",2019,5,"North East and North Cumbria",81.21454761,76.46077291
"A81011",2020,5,"North East and North Cumbria",81.453,76.3063
"A81012",2010,5,"North East and North Cumbria",79.3206496093751,74.989430106088
"A81012",2012,5,"North East and North Cumbria",79.5408400357462,75.2143325143326
"A81012",2014,5,"North East and North Cumbria",NA,NA
"A81012",2017,5,"North East and North Cumbria",78.57150187,73.99143477
"A81012",2019,5,"North East and North Cumbria",78.47323744,73.9745636
"A81012",2020,5,"North East and North Cumbria",78.2136,73.7133
"A81013",2010,4,"North East and North Cumbria",81.648350877526,77.4592085855847
"A81013",2012,4,"North East and North Cumbria",82.2493432729855,78.2930419580419
"A81013",2014,4,"North East and North Cumbria",83.1689298415778,78.8036676403765
"A81013",2017,4,"North East and North Cumbria",83.82946469,77.57201464
"A81013",2019,4,"North East and North Cumbria",83.02943753,77.91189565
"A81013",2020,4,"North East and North Cumbria",83.1553,77.3926
"A81014",2010,3,"North East and North Cumbria",82.6130041517056,77.599268942124
"A81014",2012,3,"North East and North Cumbria",83.9038987341772,78.9571656899308
"A81014",2014,3,"North East and North Cumbria",84.1297367062467,79.6637380191693
"A81014",2017,3,"North East and North Cumbria",83.15469527,79.48940623
"A81014",2019,3,"North East and North Cumbria",82.17112625,79.61006311
"A81014",2020,3,"North East and North Cumbria",82.0633,79.1337
"A81016",2010,5,"North East and North Cumbria",79.6136134516318,75.0234057879694
"A81016",2012,5,"North East and North Cumbria",79.5767876548576,74.8506506506507
"A81016",2014,5,"North East and North Cumbria",NA,NA
"A81016",2017,5,"North East and North Cumbria",78.55596861,74.75710642
"A81016",2019,5,"North East and North Cumbria",79.05235444,74.32887002
"A81016",2020,5,"North East and North Cumbria",78.8647,73.5259
"A81017",2010,3,"North East and North Cumbria",80.7333438568425,77.38321343457
"A81017",2012,3,"North East and North Cumbria",81.5953039948335,78.3491409924177
"A81017",2014,3,"North East and North Cumbria",81.0631910026687,78.8385245093204
"A81017",2017,3,"North East and North Cumbria",81.20993516,78.57695566
"A81017",2019,3,"North East and North Cumbria",81.20689979,NA
"A81018",2010,4,"North East and North Cumbria",81.5721731236292,76.8417548290874
"A81018",2012,4,"North East and North Cumbria",82.3153998416469,77.6052254831782
"A81018",2014,4,"North East and North Cumbria",81.7678072940117,77.4195521459672
"A81018",2017,4,"North East and North Cumbria",81.41143453,78.15672561
"A81018",2019,4,"North East and North Cumbria",81.3249093,78.24595248
"A81018",2020,4,"North East and North Cumbria",81.305,77.5996
"A81019",2010,5,"North East and North Cumbria",79.3692163791891,75.2739233426788
"A81019",2012,5,"North East and North Cumbria",79.625560791706,75.3249131412222
"A81019",2014,5,"North East and North Cumbria",NA,NA
