"Practice.Code","Practice.Rurality","Average.payments.per.weighted.patient","IMD"
"A81001","Urban",157.31,32.36093926
"A81002","Urban",147.91,31.92195764
"A81004","Urban",147.95,28.02402606
"A81005","Urban",153.73,15.39820693
"A81006","Urban",144.92,35.61238709
"A81007","Urban",153.44,34.4445324
"A81009","Urban",135.65,35.86584918
"A81011","Urban",153.05,36.30890201
"A81012","Urban",138.02,52.64702092
"A81013","Rural",139.41,29.72275278
"A81014","Urban",145.46,23.2413016
"A81016","Urban",139.68,44.48916704
"A81017","Urban",153.35,18.95062853
"A81018","Urban",147.93,31.65217693
"A81019","Urban",137.43,51.03596365
"A81020","Urban",146.97,32.5907881
"A81021","Urban",153.99,36.74703152
"A81022","Rural",154.24,28.10465509
"A81023","Urban",137.06,46.72625716
"A81025","Urban",165.82,34.54680434
"A81026","Urban",142.65,43.04190562
"A81027","Urban",154.57,8.498276515
"A81029","Urban",133.15,48.71806737
"A81030","Urban",142.21,29.21367425
"A81031","Urban",160.7,37.37028971
"A81032","Urban",150.55,18.87409624
"A81034","Urban",149.76,21.20401337
"A81035","Urban",141.24,45.50573605
"A81036","Urban",153.41,28.14896883
"A81037","Urban",133.16,47.20188754
"A81038","Urban",143.69,48.84968334
"A81039","Urban",156.76,9.810949199
"A81040","Urban",151.94,24.15772625
"A81041","Urban",135.22,35.67246825
"A81042","Urban",135.16,44.4887079
"A81043","Urban",144.46,34.88567243
"A81044","Urban",149.56,34.88387014
"A81045","Urban",178.38,30.3384962
"A81046","Urban",138.11,31.46987495
"A81048","Rural",144.36,17.10870732
"A81049","Urban",144.79,51.90026988
"A81051","Urban",122.08,28.41891
"A81052","Urban",153.37,29.42239419
"A81053","Rural",137.01,36.88232059
"A81054","Urban",144.99,30.26605486
"A81056","Urban",139.75,24.1716921
"A81057","Urban",148.69,26.19803912
"A81058","Urban",146.11,29.30668438
"A81060","Urban",132.59,33.12854462
"A81063","Urban",142.63,37.62924613
"A81064","Urban",125.48,46.1153732
"A81065","Urban",156.16,49.16234326
"A81066","Rural",258.21,16.08137197
"A81067","Urban",154.11,40.51026596
"A81070","Urban",160.11,31.31711076
"A81602","Urban",168.75,21.72787633
"A81608","Urban",142.29,38.9923193
"A81610","Urban",146.18,23.33127092
"A81611","Urban",138.45,28.8155197
"A81612","Urban",129.81,23.41244905
"A81618","Rural",145.18,20.89523695
"A81621","Urban",129.25,67.40740788
"A81622","Urban",143.57,40.39522356
"A81629","Urban",135.88,38.51984913
"A81631","Urban",134.87,35.48259456
"A81633","Urban",472.74,62.98951579
"A81634","Urban",172.13,59.15179074
"A82003","Urban",139.62,14.57892826
"A82004","Rural",189.74,20.10173872
"A82005","Rural",161.16,12.58326118
"A82006","Rural",185.94,15.88497829
"A82007","Urban",138.06,35.34187825
"A82008","Urban",135.6,32.31908057
"A82009","Urban",151.48,33.33581017
"A82010","Urban",157.63,26.73957171
"A82012","Rural",261.66,14.18831259
"A82013","Rural",234.62,20.56862815
"A82014","Rural",281.01,17.63140964
"A82015","Urban",128.89,27.80747266
"A82016","Urban",230.29,22.7083934
"A82018","Urban",143.26,23.52692056
"A82019","Urban",147.04,24.48907915
"A82020","Urban",155.14,24.62371007
"A82021","Rural",173.16,13.41072608
"A82022","Rural",258.66,14.93832639
"A82023","Rural",243.62,23.88475893
"A82024","Rural",243.46,14.46701636
"A82025","Urban",169.81,14.39839285
"A82026","Urban",213.15,12.50949903
"A82027","Urban",192.62,13.55844133
"A82028","Rural",190.99,12.62575785
"A82029","Rural",278,18.70936406
"A82030","Rural",263.38,11.60198722
"A82031","Rural",292.54,15.69705813
"A82032","Rural",147.85,30.21792119
"A82033","Rural",169.87,27.27439253
"A82035","Urban",143.94,14.88709934
"A82036","Urban",134.37,14.96139191
"A82037","Rural",147.37,24.4071086
"A82038","Rural",285.84,15.89251872
"A82039","Rural",140.44,19.09339794
"A82041","Urban",146.72,27.70845082
"A82044","Rural",149.74,25.9900761
"A82045","Rural",162.77,19.00752654
"A82046","Rural",164.64,12.30606465
"A82047","Urban",145.65,30.40453598
"A82053","Rural",167.16,11.45818382
"A82055","Rural",171.99,22.23774092
"A82058","Urban",154.06,24.37733966
"A82062","Urban",167.4,37.81485085
"A82064","Rural",223.18,21.94888961
"A82068","Urban",140.79,15.37603811
"A82070","Rural",175.82,12.44841314
"A82071","Urban",141.2,27.72602744
"A82072","Urban",151.2,33.63027951
"A82075","Urban",158.4,28.86767648
"A82077","Urban",153.56,30.86164155
"A82608","Rural",245.35,15.45732873
"A82613","Rural",277.32,13.93758949
"A82617","Rural",289.72,14.24110852
"A82620","Rural",334.87,17.77056618
"A82629","Urban",164.48,38.56316913
"A82631","Rural",303.62,14.81447223
"A82646","Rural",124.58,31.14498168
"A82647","Rural",258.71,11.54849889
"A82650","Rural",303.38,15.55939691
"A82651","Rural",279.25,13.80259664
"A82654","Urban",146.54,24.94389465
"A83001","Urban",162.29,26.4540396
"A83003","Rural",152.52,34.83759727
"A83005","Urban",141.05,25.95837375
"A83006","Urban",137.78,26.40101756
"A83007","Rural",163.2,40.22311745
"A83008","Urban",144.29,42.44180829
"A83009","Urban",164.48,20.29811546
"A83010","Urban",141.49,22.69267617
"A83011","Urban",145.88,10.9044101
"A83012","Urban",175.38,38.71363362
"A83013","Urban",127.8,34.0324891
"A83014","Urban",153.29,18.45337332
"A83015","Urban",158.76,32.17349916
"A83016","Urban",151.03,32.20901291
"A83018","Urban",149.89,22.67427875
"A83020","Rural",157.09,29.74618581
"A83021","Urban",186,32.00584413
"A83022","Rural",145.99,25.42832636
"A83023","Urban",165.9,33.771525
"A83024","Rural",163.14,26.95895781
"A83025","Urban",146.54,35.88131611
"A83026","Rural",154.55,23.98608946
"A83027","Rural",137.33,19.01399048
"A83028","Urban",149,20.15829479
"A83029","Rural",158.54,16.01175415
"A83030","Rural",164.62,21.1177036
"A83031","Urban",147.05,17.36154685
"A83032","Rural",226.67,25.44689609
"A83033","Urban",168.49,26.01225844
"A83034","Urban",161.32,25.66136158
"A83035","Rural",165.51,19.45499191
"A83036","Urban",147.36,9.709860587
"A83037","Urban",168.1,24.87895763
"A83038","Rural",163.87,18.48689782
"A83040","Urban",152.23,33.81978039
"A83041","Rural",153.59,31.72023701
