Data_source,CENSUS_YEAR,CENSUS_MONTH,PCN_CODE,PCN_NAME,SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,ICB_NAME,COMM_REGION_CODE,COMM_REGION_NAME,STAFF_GROUP,STAFF_ROLE,DETAILED_STAFF_ROLE,FTE,UNIQUE_IDENTIFIER
NWRS Staff,2020,3,U68696,WOKINGHAM WEST PCN,15A,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A Berkshire West",QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.986666667,3182
NWRS Staff,2020,3,U68696,WOKINGHAM WEST PCN,15A,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A Berkshire West",QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Y59,South East,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.48,3149
NWRS Staff,2020,3,U68696,WOKINGHAM WEST PCN,15A,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A Berkshire West",QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Y59,South East,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.48,3160
NWRS Staff,2020,3,U83457,CENTRAL CAMDEN PCN,93C,NHS North Central London ICB - 93C ,QMJ,NHS North Central London ICB,Y56,London,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.6,3116
NWRS Staff,2020,3,U98152,CHOC (CONGLETON and HOLMES CHAPEL) PCN,27D,NHS Cheshire and Merseyside ICB - 27D Cheshire,QYG,NHS Cheshire and Merseyside ICB,Y62,North West,Directors,Medical Clinical Director,Clinical Director – Medical,0.2,34425
NWRS Staff,2020,3,U83457,CENTRAL CAMDEN PCN,93C,NHS North Central London ICB - 93C ,QMJ,NHS North Central London ICB,Y56,London,Directors,Medical Clinical Director,Clinical Director – Medical,0.213333333,19902
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Directors,Medical Clinical Director,Clinical Director – Medical,0.066666667,3132
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.666666667,3132
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.666666667,3135
NWRS Staff,2020,3,U40593,ORWELL PCN,06L,NHS Suffolk and North East Essex ICB - 06L Ipswich and East Suffolk,QJG,NHS Suffolk and North East Essex ICB,Y61,East of England,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3068
NWRS Staff,2020,3,U40593,ORWELL PCN,06L,NHS Suffolk and North East Essex ICB - 06L Ipswich and East Suffolk,QJG,NHS Suffolk and North East Essex ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.773333333,3179
NWRS Staff,2020,3,U40593,ORWELL PCN,06L,NHS Suffolk and North East Essex ICB - 06L Ipswich and East Suffolk,QJG,NHS Suffolk and North East Essex ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,3216
NWRS Staff,2020,3,U40593,ORWELL PCN,06L,NHS Suffolk and North East Essex ICB - 06L Ipswich and East Suffolk,QJG,NHS Suffolk and North East Essex ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.773333333,3136
NWRS Staff,2020,3,U40593,ORWELL PCN,06L,NHS Suffolk and North East Essex ICB - 06L Ipswich and East Suffolk,QJG,NHS Suffolk and North East Essex ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.533333333,3130
NWRS Staff,2020,3,U25707,TONE VALLEY PCN,11X,NHS Somerset ICB - 11X ,QSL,NHS Somerset ICB,Y58,South West,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.933333333,3161
NWRS Staff,2020,3,U09193,TOWER HAMLETS NETWORK 8 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Admin/Non-clinical staff,Other Admin/Non-clinical,Other,1,3155
NWRS Staff,2020,3,U38734,SELSDON PURLEY and COULSDON HEALTH PCN,36L,NHS South West London ICB - 36L ,QWE,NHS South West London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3060
NWRS Staff,2020,3,U38734,SELSDON PURLEY and COULSDON HEALTH PCN,36L,NHS South West London ICB - 36L ,QWE,NHS South West London ICB,Y56,London,Other Direct Patient Care staff,Paramedics,Paramedic,0.533333333,3178
NWRS Staff,2020,3,U38734,SELSDON PURLEY and COULSDON HEALTH PCN,36L,NHS South West London ICB - 36L ,QWE,NHS South West London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3076
NWRS Staff,2020,3,U94681,NORTH NORFOLK 1 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.6,3145
NWRS Staff,2020,3,U91215,NORTH NORFOLK 2 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.6,3206
NWRS Staff,2020,3,U02749,CENTRAL BOURNEMOUTH PCN,11J,NHS Dorset ICB - 11J ,QVV,NHS Dorset ICB,Y58,South West,Other Admin/Non-clinical staff,Managers,Manager,0.64,69387
NWRS Staff,2020,3,U02749,CENTRAL BOURNEMOUTH PCN,11J,NHS Dorset ICB - 11J ,QVV,NHS Dorset ICB,Y58,South West,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.986666667,69388
NWRS Staff,2020,3,U02749,CENTRAL BOURNEMOUTH PCN,11J,NHS Dorset ICB - 11J ,QVV,NHS Dorset ICB,Y58,South West,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,69389
NWRS Staff,2020,3,U02749,CENTRAL BOURNEMOUTH PCN,11J,NHS Dorset ICB - 11J ,QVV,NHS Dorset ICB,Y58,South West,Directors,Medical Clinical Director,Clinical Director – Medical,0.213333333,69390
NWRS Staff,2020,3,U62485,NORTH NORFOLK 3 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.6,3202
NWRS Staff,2020,3,U04154,NORTH NORFOLK 4 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3128
