"Practice.Code","Year","TOTAL_PATIENTS","TOTAL_GP_EXTGL_HC","TOTAL_GP_EXTGL_FTE","IMD","IMD_quintile"
"A81001","2016",4222,2,2.1,29.94546757,"4"
"A81001","2017",4214,2,2.1,30.7506248,"4"
"A81001","2018",4147,2,2,31.55578203,"4"
"A81001","2019",4089,2,2,32.36093926,"4"
"A81001","2020",4103,2,2,32.36093926,"4"
"A81001","2021",4096.66666666667,2,2,32.36093926,"4"
"A81001","2022",4057.7,2,2,32.36093926,"4"
"A81001","2023",4033.5,2,2,32.36093926,"4"
"A81001","2024",3939.2,2,2,32.36093926,"4"
"A81002","2016",19667,11,11.2,30.247768865,"4"
"A81002","2017",19939,12,11.2,30.80583179,"4"
"A81002","2018",19976,12,10,31.363894715,"4"
"A81002","2019",19700,12,10,31.92195764,"4"
"A81002","2020",19357,11,10,31.92195764,"4"
"A81002","2021",18919.6666666667,10,8,31.92195764,"4"
"A81002","2022",18600.2,10,7.9,31.92195764,"4"
"A81002","2023",18356.5,10,8,31.92195764,"4"
"A81002","2024",18423.2,9,7.2,31.92195764,"4"
"A81003","2016",3379,2,2.1,41.3878291,"5"
"A81003","2017",5990,1,0.9,41.3878291,"5"
"A81004","2016",9090,3,3,32.8148777775,"4"
"A81004","2017",9259,3,3,31.217927205,"4"
"A81004","2018",9761,3,3,29.6209766325,"4"
"A81004","2019",10495,3,2.5,28.02402606,"4"
"A81004","2020",10941,4,3.1,28.02402606,"4"
"A81004","2021",11014.6666666667,4,3.1,28.02402606,"4"
"A81004","2022",11037.6,3,2.7,28.02402606,"4"
"A81004","2023",11174.5833333333,3,2.6,28.02402606,"4"
"A81004","2024",11277.5,2,1.8,28.02402606,"4"
"A81005","2016",7896,6,4.3,15.657410905,"2"
"A81005","2017",7958,6,4.3,15.57100958,"2"
"A81005","2018",7994,6,4.4,15.484608255,"2"
"A81005","2019",8045,6,4.5,15.39820693,"2"
"A81005","2020",8072,6,4.5,15.39820693,"2"
"A81005","2021",8156.33333333333,7,4.8,15.39820693,"2"
"A81005","2022",8112.3,7,4.4,15.39820693,"2"
"A81005","2023",8048.41666666667,7,4,15.39820693,"2"
"A81005","2024",7968.3,6,3.4,15.39820693,"2"
"A81006","2016",12283,9,8.8,32.746732895,"4"
"A81006","2017",13647,8,5.6,33.70195096,"4"
"A81006","2018",13926,8,5.6,34.657169025,"5"
"A81006","2019",14563,8,5.6,35.61238709,"5"
"A81006","2020",14784,8,5.6,35.61238709,"5"
"A81006","2021",14658.3333333333,9,6.2,35.61238709,"5"
"A81006","2022",14569.3,9,6.3,35.61238709,"5"
"A81006","2023",14444.75,10,6.7,35.61238709,"5"
"A81006","2024",14381.1,9,5.7,35.61238709,"5"
"A81007","2016",9720,7,4.8,32.6621614275,"4"
"A81007","2017",9877,5,3.7,33.256285085,"4"
"A81007","2018",10026,6,4.3,33.8504087425,"5"
"A81007","2019",10029,7,5,34.4445324,"5"
"A81007","2020",9940,7,5,34.4445324,"5"
"A81007","2021",9912.66666666667,6,3.5,34.4445324,"5"
"A81007","2022",9922.6,9,6.1,34.4445324,"5"
"A81007","2023",9911.5,8,6.1,34.4445324,"5"
"A81007","2024",10019.5,10,8,34.4445324,"5"
"A81008","2016",4045,2,1.4,51.55145307,"5"
"A81008","2017",4001,1,0.6,51.55145307,"5"
"A81009","2016",9207,6,3.3,35.414370435,"5"
"A81009","2017",9122,5,2.9,35.56486335,"5"
"A81009","2018",8846,5,2.9,35.715356265,"5"
"A81009","2019",8676,5,2.9,35.86584918,"5"
"A81009","2020",8542,7,3.7,35.86584918,"5"
"A81009","2021",8330.33333333333,6,3.3,35.86584918,"5"
"A81009","2022",8319.6,6,3.3,35.86584918,"5"
"A81009","2023",8249.58333333333,6,3.3,35.86584918,"5"
"A81009","2024",8469.7,6,3.3,35.86584918,"5"
"A81011","2016",11371,6,5.8,35.0475216425,"5"
"A81011","2017",11730,5,4.9,35.467981765,"5"
"A81011","2018",11844,5,4.9,35.8884418875,"5"
"A81011","2019",11918,5,4.9,36.30890201,"5"
"A81011","2020",11861,5,4.6,36.30890201,"5"
"A81011","2021",11772.6666666667,5,4.7,36.30890201,"5"
"A81011","2022",11612.9,5,4.7,36.30890201,"5"
"A81011","2023",11544.25,5,4.7,36.30890201,"5"
"A81011","2024",11588.9,5,4.5,36.30890201,"5"
"A81012","2016",4731,2,2.1,50.758459825,"5"
"A81012","2017",4788,2,2.1,51.38798019,"5"
"A81012","2018",4769,2,2.1,52.017500555,"5"
"A81012","2019",5056,2,2.1,52.64702092,"5"
"A81012","2020",5079,2,2.1,52.64702092,"5"
"A81012","2021",5065.66666666667,2,2.1,52.64702092,"5"
"A81012","2022",5204.1,3,2.9,52.64702092,"5"
"A81012","2023",5233.58333333333,3,2.9,52.64702092,"5"
"A81012","2024",5362,3,2.8,52.64702092,"5"
"A81013","2016",6153,4,3.2,29.8973040825,"4"
"A81013","2017",6172,4,3.2,29.839120315,"4"
"A81013","2018",6356,4,2.7,29.7809365475,"4"
"A81013","2019",6514,4,2.7,29.72275278,"4"
"A81013","2020",6659,4,2.7,29.72275278,"4"
"A81013","2021",6906.66666666667,4,2.8,29.72275278,"4"
"A81013","2022",7022.5,4,2.9,29.72275278,"4"
"A81013","2023",7150.75,4,3,29.72275278,"4"
"A81013","2024",7272,4,3,29.72275278,"4"
"A81014","2016",3817,3,2,22.487115835,"3"
"A81014","2017",3822,3,1.9,22.73851109,"3"
"A81014","2018",3810,3,1.9,22.989906345,"3"
"A81014","2019",3802,2,1.2,23.2413016,"3"
"A81014","2020",3843,3,1.4,23.2413016,"3"
"A81014","2021",3954.33333333333,3,1.4,23.2413016,"3"
"A81014","2022",4066.8,3,1.4,23.2413016,"3"
"A81014","2023",4122.58333333333,3,1.4,23.2413016,"3"
"A81014","2024",4121.8,3,1.4,23.2413016,"3"
"A81015","2016",3056,2,2.7,24.50057883,"3"
"A81015","2017",3074,2,2.7,24.50057883,"3"
"A81015","2018",2951,2,1.1,24.50057883,"3"
"A81016","2016",9546,6,5,43.9751270075,"5"
"A81016","2017",9586,6,5,44.146473685,"5"
"A81016","2018",9884,5,4.1,44.3178203625,"5"
"A81016","2019",10036,5,4.1,44.48916704,"5"
"A81016","2020",10362,4,3.1,44.48916704,"5"
"A81016","2021",10443.6666666667,3,2.6,44.48916704,"5"
"A81016","2022",10649,3,2.4,44.48916704,"5"
"A81016","2023",11208.9166666667,3,2.4,44.48916704,"5"
"A81016","2024",11823,3,2.1,44.48916704,"5"
"A81017","2016",20876,8,6.9,18.97880051,"3"
"A81017","2017",20407,8,6.3,18.96940985,"3"
"A81017","2018",20012,8,5.8,18.96001919,"3"
"A81017","2019",19349,7,5.2,18.95062853,"3"
"A81017","2020",18937,8,6.2,18.95062853,"3"
"A81017","2021",18904.6666666667,8,6.2,18.95062853,"3"
"A81017","2022",18925.1,8,5.9,18.95062853,"3"
"A81017","2023",18890.5833333333,9,6.6,18.95062853,"3"
"A81017","2024",18720.2,9,6.5,18.95062853,"3"
"A81018","2016",5466,3,1.7,30.07030678,"4"
"A81018","2017",9282,4,3.2,30.59759683,"4"
"A81018","2018",10092,4,3.2,31.12488688,"4"
"A81018","2019",10149,4,3.4,31.65217693,"4"
"A81018","2020",10178,4,3.4,31.65217693,"4"
"A81018","2021",10065,5,3.9,31.65217693,"4"
"A81018","2022",10086.5,4,3.2,31.65217693,"4"
"A81018","2023",10189,4,3.4,31.65217693,"4"
"A81018","2024",10205.4,4,3.6,31.65217693,"4"
"A81019","2016",10439,6,3.5,49.8800737225,"5"
"A81019","2017",10249,6,4.3,50.265370365,"5"
"A81019","2018",9971,6,4.7,50.6506670075,"5"
"A81019","2019",9595,5,4,51.03596365,"5"
"A81019","2020",9234,6,4.6,51.03596365,"5"
"A81019","2021",9096.33333333333,5,3.4,51.03596365,"5"
"A81019","2022",9034,5,3.4,51.03596365,"5"
"A81019","2023",8887.83333333333,7,4.5,51.03596365,"5"
"A81019","2024",8901.4,8,5,51.03596365,"5"
"A81020","2016",7936,4,3.6,31.7900383375,"4"
"A81020","2017",7924,4,3.6,32.056954925,"4"
"A81020","2018",7662,4,3.5,32.3238715125,"4"
"A81020","2019",8021,4,2.9,32.5907881,"4"
"A81020","2020",8112,5,4.2,32.5907881,"4"
"A81020","2021",8120.66666666667,5,4,32.5907881,"4"
"A81020","2022",8060.1,4,3.6,32.5907881,"4"
"A81020","2023",7985.08333333333,5,3.3,32.5907881,"4"
